DATE,MAX,MIN,PRCP,State
2023-01-01,26.654214559386975,17.2088122605364,0.6481379310344827,FL
2023-01-08,22.544973544973544,7.610229276895944,6.726394517951181,FL
2023-01-15,15.756481481481481,2.1296296296296293,6.119569589932653,FL
2023-01-22,19.996296296296297,2.408333333333333,7.776303188219906,FL
2023-01-29,19.526851851851852,7.76608187134503,14.083787928950036,FL
2023-02-05,23.991803278688526,10.266848816029144,12.65693409018494,FL
2023-02-12,24.58700209643606,11.839605734767025,23.895553991785945,FL
2023-02-19,22.089947089947092,7.2292768959435625,1.8443468880766987,FL
2023-02-26,27.05815972222222,13.375868055555555,0.008063492063492064,FL
2023-03-05,28.44620811287478,15.915343915343914,1.0562084525474091,FL
2023-03-12,27.133928571428573,14.03615520282187,3.051143170426065,FL
2023-03-19,22.138383838383838,8.652777777777779,19.8639946113799,FL
2023-03-26,19.925576519916145,7.5282186948853616,3.1623863523905182,FL
2023-04-02,27.520036429872494,15.222222222222221,11.194728410421545,FL
2023-04-09,26.89957264957265,16.939102564102566,7.828995965607051,FL
2023-04-16,25.722222222222225,17.16880341880342,40.7770790227631,FL
2023-04-23,27.572916666666668,12.1328125,15.010357981821269,FL
2023-04-30,28.565359477124183,18.35487528344671,38.89312908767931,FL
2023-05-07,28.534608378870672,14.887125220458554,4.6433925484351715,FL
2023-05-14,29.55026455026455,18.257495590828924,6.9802823241977565,FL
2023-05-21,31.402534113060426,20.516129032258064,20.380287434451414,FL
2023-05-28,28.849340866290017,17.542328042328045,54.09356350881421,FL
2023-06-04,30.28046594982079,18.731182795698924,28.791308928562504,FL
2023-06-11,30.580896686159843,19.975409836065573,22.03626244980784,FL
2023-06-18,32.083333333333336,22.07986111111111,47.35685285443062,FL
2023-06-25,31.556737588652485,22.225555555555555,62.635875587076434,FL
2023-07-02,33.69020715630885,23.05743879472693,17.4132807955209,FL
2023-07-09,33.932323232323235,24.4937106918239,28.574337167419664,FL
2023-07-16,33.33877995642702,24.671111111111113,40.71446670837295,FL
2023-07-23,33.82788671023965,24.234204793028326,32.78166355589306,FL
2023-07-30,33.48583877995643,23.425252525252525,32.35176277752954,FL
2023-08-06,34.032407407407405,23.853909465020575,38.633046561535096,FL
2023-08-13,35.42562724014336,25.7165725047081,14.000425270487543,FL
2023-08-20,34.10239651416122,23.846405228758172,38.52547219859707,FL
2023-08-27,34.044444444444444,24.04871794871795,11.306766650957567,FL
2023-09-03,31.90299823633157,23.646384479717813,48.477364229003015,FL
2023-09-10,32.37476459510358,21.44538606403013,10.864561972721404,FL
2023-09-17,32.57716049382716,23.580896686159843,29.538961960772113,FL
2023-09-24,31.163194444444443,19.48888888888889,29.131764311798975,FL
2023-10-01,30.049266247379453,20.59,53.52702797413443,FL
2023-10-08,28.89253187613843,18.340619307832423,13.60434145787623,FL
2023-10-15,27.459510357815443,16.148775894538606,35.262207483041834,FL
2023-10-22,23.363247863247864,11.84102564102564,0.17646235513120756,FL
2023-10-29,29.019157088122604,16.08159722222222,0.9505767434079037,FL
2023-11-05,25.315104166666668,12.419270833333334,1.795845468262789,FL
2023-11-12,27.75128205128205,12.014529914529914,4.087685971352657,FL
2023-11-19,23.706666666666663,15.479717813051147,82.25783289132602,FL
2023-11-26,21.944444444444443,12.695340501792113,7.791738676487964,FL
2023-12-03,19.658854166666668,6.756944444444445,26.867834606077526,FL
2023-12-10,20.73784722222222,7.200520833333333,6.252573328672888,FL
2023-12-17,21.285470085470088,8.471794871794872,59.126858407966196,FL
2023-12-24,18.14426523297491,7.429872495446266,6.849984026512947,FL
2023-12-31,17.439814814814817,5.373015873015873,21.90594026376834,FL
