DATE,MAX,MIN,PRCP
2023-01-01,14.4297385620915,1.8251633986928124,0.0014705882352941176
2023-01-08,11.87698412698413,-3.192110177404294,3.803361344537815
2023-01-15,15.232026143790847,-2.5954715219421094,2.9431512605042016
2023-01-22,8.755977496483824,-4.9214721050164085,8.462278481012659
2023-01-29,7.663008687700044,-7.837905807041611,3.7217695473251027
2023-02-05,34.5952380952381,-7.162131519274378,0.00016326530612244898
2023-02-12,57.79155188246097,-6.145316804407713,7.855041322314049
2023-02-19,9.892857142857142,-5.9528478057889815,11.366806722689075
2023-02-26,38.1297052154195,-0.42358276643990994,11.025551020408162
2023-03-05,15.43044077134986,-3.249770431588615,4.138223140495867
2023-03-12,19.742630385487526,2.4682539682539684,3.2686530612244895
2023-03-19,14.115873015873015,-0.8154195011337882,10.232122448979592
2023-03-26,15.256235827664398,0.07596371882086099,11.040408163265305
2023-04-02,19.03142076502732,-1.2108378870673953,2.459426229508197
2023-04-09,19.993197278911566,-0.14625850340136046,3.265551020408163
2023-04-16,24.708843537414964,4.4392290249433115,1.6338367346938774
2023-04-23,22.89977324263039,2.88185941043084,0.4082857142857143
2023-04-30,46.480952380952374,2.99160997732426,5.723265306122448
2023-05-07,26.88027210884354,7.028117913832198,4.904653061224489
2023-05-14,27.23832199546485,7.093650793650792,3.279959183673469
2023-05-21,25.067800453514742,10.243537414965987,9.853306122448979
2023-05-28,28.14829931972789,10.34716553287982,4.548979591836734
2023-06-04,50.93514644351464,10.482798698279872,5.075481171548117
2023-06-11,28.589635854341736,10.823062558356677,2.999495798319327
2023-06-18,30.685413808870596,10.74599908550526,1.6750617283950615
2023-06-25,34.98435374149659,59.61337868480726,2.043387755102041
2023-07-02,34.999546485260765,38.785714285714285,7.764612244897959
2023-07-09,35.35691609977325,16.29455782312925,3.2831836734693876
2023-07-16,36.643537414965984,41.32086167800454,7.78338775510204
2023-07-23,37.044854280510016,18.17167577413479,6.980368852459017
2023-07-30,36.662131519274375,40.887074829931976,8.581755102040816
2023-08-06,35.695011337868486,17.485260770975056,8.171102040816326
2023-08-13,33.981859410430836,17.109750566893425,10.243591836734693
2023-08-20,33.952185792349724,16.15186703096539,5.759631147540984
2023-08-27,32.026757369614515,16.757142857142856,9.035265306122449
2023-09-03,32.8641723356009,15.206802721088435,3.702489795918367
2023-09-10,34.270748299319735,14.415646258503399,2.453877551020408
2023-09-17,26.584807256235834,12.654875283446708,7.029714285714285
2023-09-24,29.450793650793646,11.59251700680272,7.365224489795918
2023-10-01,30.053480866758875,11.169202397418164,2.114605809128631
2023-10-08,25.40657596371882,8.404761904761905,3.287265306122449
2023-10-15,24.83379058070416,5.925240054869686,2.4690123456790123
2023-10-22,50.257058287796,5.848588342440802,0.8195901639344262
2023-10-29,22.389115646258503,5.520408163265308,5.329877551020408
2023-11-05,18.682993197278915,-2.5299319727891145,0.41367346938775507
2023-11-12,42.03537414965986,2.930158730158732,2.4675918367346936
2023-11-19,87.00803489439852,2.3689164370982536,5.380289256198347
2023-11-26,12.065118397085607,-2.207194899817849,5.750450819672131
2023-12-03,33.697959183673476,-4.101133786848075,4.9124489795918365
2023-12-10,82.55532879818594,-3.716553287981861,0.8175510204081632
2023-12-17,11.559183673469388,-3.626757369614511,2.079510204081633
2023-12-24,35.36621315192744,-1.2151927437641714,8.211510204081632
2023-12-31,54.89387755102041,-7.0836734693877546,0.8162857142857143
