DATE,MAX,MIN,PRCP,TAVG,State
2024-01-07,5.112590187590188,-3.940981240981241,16.09782727272727,0.5858044733044734,WV
2024-01-14,8.232984607984609,-2.6705026455026455,40.76315151515151,2.781240981240981,WV
2024-01-21,-2.361652236652237,-11.603835978835978,11.403060606060604,-6.982744107744108,WV
2024-01-28,13.036976911976913,1.1491101491101492,34.405454545454546,7.0930435305435315,WV
2024-02-04,8.987914862914863,-0.663179413179413,8.932333333333332,4.1623677248677255,WV
2024-02-11,14.949518999519,0.6481721981721984,8.150321212121211,7.7988455988456,WV
2024-02-18,9.984487734487734,-2.4435425685425685,35.57731818181818,3.770472582972583,WV
2024-02-25,12.326647426647426,-3.1003727753727754,17.52830909090909,4.613137325637326,WV
2024-03-03,14.912770562770563,0.9064935064935068,28.277512121212123,7.909632034632035,WV
2024-03-10,18.242664742664743,5.412397787397787,37.3880303030303,11.827531265031267,WV
2024-03-17,19.007756132756132,2.083694083694084,9.53462121212121,10.545725108225108,WV
2024-03-24,13.837313612313611,-2.3203703703703704,12.014969696969699,5.758471620971621,WV
2024-03-31,17.500853775853777,4.119035594035594,14.563436363636363,10.809944684944684,WV
2024-04-07,14.974266474266475,4.608405483405484,59.643818181818176,9.791335978835978,WV
2024-04-14,21.744143819143822,8.3761544011544,41.08834848484848,15.06014911014911,WV
2024-04-21,24.844348244348247,10.199194324194325,11.478875757575757,17.521771284271285,WV
2024-04-28,21.927910052910054,5.622619047619048,3.1199666666666666,13.77526455026455,WV
2024-05-05,27.97118807118807,12.685762385762386,22.865387878787878,20.32847522847523,WV
2024-05-12,23.61038961038961,11.657647907647908,28.5115,17.63401875901876,WV
2024-05-19,24.342893217893216,12.000060125060125,27.39543939393939,18.171476671476672,WV
2024-05-26,28.494588744588746,14.54669312169312,25.072493939393937,21.520640933140932,WV
2024-06-02,24.758128908128906,10.18018278018278,19.133127272727272,17.469155844155843,WV
2024-06-09,27.585738335738338,14.971440596440598,27.112575757575755,21.278589466089468,WV
2024-06-16,27.6763468013468,11.519300144300145,4.140969696969696,19.597823472823475,WV
2024-06-23,33.20075757575758,18.119877344877345,5.521036363636363,25.66031746031746,WV
2024-06-30,31.382034632034635,17.51564454064454,23.946812121212123,24.448839586339584,WV
2024-07-07,31.487674362674365,17.398929773929773,14.325984848484847,24.44330206830207,WV
2024-07-14,33.429232804232804,17.939814814814817,1.7356666666666665,25.684523809523807,WV
2024-07-21,32.409403559403565,17.912987012987013,18.14329696969697,25.161195286195287,WV
2024-07-28,29.876262626262626,16.908189033189036,19.711939393939392,23.392225829725827,WV
2024-08-04,31.548941798941797,19.120057720057723,29.2862,25.334499759499757,WV
2024-08-11,31.43061568061568,18.063251563251562,33.6415303030303,24.746933621933625,WV
2024-08-18,29.747775372775372,14.728427128427128,9.356436363636362,22.238101250601254,WV
2024-08-25,27.0297619047619,10.81463443963444,5.89010606060606,18.922198172198172,WV
2024-09-01,33.78494468494468,17.887433862433863,36.173063636363636,25.836189273689275,WV
2024-09-08,26.3489417989418,10.473809523809523,11.222566666666664,18.41137566137566,WV
2024-09-15,28.410714285714285,9.706349206349206,0.021166666666666667,19.058531746031747,WV
2024-09-22,29.172679172679175,14.48526936026936,5.2647272727272725,21.828974266474265,WV
2024-09-29,25.902164502164503,17.0481240981241,61.57190909090909,21.4751443001443,WV
2024-10-06,25.023136123136123,13.257744107744108,17.029160606060604,19.140440115440118,WV
2024-10-13,22.720959595959595,4.948953823953824,3.99280303030303,13.83495670995671,WV
2024-10-20,18.60429292929293,2.5568662818662817,6.525490909090908,10.580579605579604,WV
2024-10-27,22.940343915343913,4.352513227513227,0.9186333333333333,13.646428571428572,WV
2024-11-03,23.651515151515152,4.76022126022126,1.2603787878787878,14.205868205868205,WV
2024-11-10,22.050336700336704,8.23474025974026,3.835015151515151,15.14253848003848,WV
2024-11-17,15.237073112073114,3.6463443963443964,36.19115151515151,9.441708754208756,WV
2024-11-24,11.712770562770562,3.0022847522847522,18.769060606060606,7.357527657527657,WV
2024-12-01,9.325192400192401,-1.5995069745069748,23.280254545454547,3.8628427128427125,WV
2024-12-08,3.218061568061568,-6.490632515632515,4.592781818181818,-1.6362854737854737,WV
