DATE,MAX,MIN,PRCP,State
2023-01-01,7.740143369175628,-1.086021505376344,1.3191612903225807,OR
2023-01-08,5.010683760683761,-4.7896825396825395,14.118606023606024,OR
2023-01-15,8.720238095238095,-0.884920634920635,35.76833004926108,OR
2023-01-22,5.176954732510288,-6.246913580246913,13.44780420958352,OR
2023-01-29,6.051724137931035,-5.262452107279693,3.129935483870968,OR
2023-02-05,3.1899641577060938,-10.134408602150538,4.43557423249926,OR
2023-02-12,9.206349206349206,-3.612794612794613,8.435863840182806,OR
2023-02-19,7.0625,-6.185185185185185,5.371375968640081,OR
2023-02-26,2.236111111111111,-8.4,15.198558000953438,OR
2023-03-05,5.422619047619048,-4.264367816091954,25.331800930487134,OR
2023-03-12,6.745210727969349,-3.964285714285715,21.689426564495527,OR
2023-03-19,9.09961685823755,-4.13973063973064,27.083532019704432,OR
2023-03-26,6.6686507936507935,-2.7440476190476195,20.296977339901474,OR
2023-04-02,8.974910394265233,-4.103942652329749,22.807348715504,OR
2023-04-09,8.134920634920634,-2.6340996168582373,20.88578604269294,OR
2023-04-16,10.708333333333334,-1.4982638888888886,23.089690191827287,OR
2023-04-23,9.452380952380953,-1.2341269841269842,23.136980952380952,OR
2023-04-30,15.12962962962963,1.6336805555555556,2.6848768328445747,OR
2023-05-07,15.240079365079366,5.091269841269841,15.223125416247328,OR
2023-05-14,16.07936507936508,3.496296296296296,6.436027380952381,OR
2023-05-21,26.210727969348657,10.214285714285714,1.3468289792891572,OR
2023-05-28,19.129032258064516,4.564516129032258,1.626722819593787,OR
2023-06-04,21.448028673835125,4.765232974910394,1.5941572580645162,OR
2023-06-11,21.808429118773947,8.268518518518517,4.620427873563218,OR
2023-06-18,22.29310344827586,6.848958333333333,1.1818487208008899,OR
2023-06-25,17.50793650793651,4.301851851851851,6.833910934106679,OR
2023-07-02,25.258680555555557,9.92962962962963,2.0605749999999996,OR
2023-07-09,27.983870967741936,10.109318996415771,0.08808064516129033,OR
2023-07-16,28.35,10.746296296296297,0.07678390804597701,OR
2023-07-23,29.78472222222222,10.48263888888889,0.11906249999999999,OR
2023-07-30,28.516129032258064,10.588541666666666,0.34041839080459774,OR
2023-08-06,28.261111111111113,10.48263888888889,2.0443220238095234,OR
2023-08-13,27.836805555555557,11.347222222222221,1.3707635752688174,OR
2023-08-20,29.019713261648743,10.630824372759855,0.9476604981966493,OR
2023-08-27,24.867383512544805,9.440860215053764,7.628725596983661,OR
2023-09-03,25.547619047619047,10.066308243727597,9.646598598310291,OR
2023-09-10,23.13888888888889,7.427083333333333,0.7304548387096774,OR
2023-09-17,27.305555555555554,7.661290322580645,0.025126881720430108,OR
2023-09-24,20.20689655172414,4.059139784946236,4.216417658509455,OR
2023-10-01,17.259856630824373,4.401433691756272,31.331928491386666,OR
2023-10-08,20.001984126984127,4.882716049382716,7.286977777777778,OR
2023-10-15,16.27777777777778,3.5092592592592595,16.955918062397373,OR
2023-10-22,20.45977011494253,5.532986111111111,6.296172154245458,OR
2023-10-29,10.187037037037037,-4.225589225589225,14.079315591397851,OR
2023-11-05,14.565972222222221,-3.626736111111111,33.94022286079182,OR
2023-11-12,11.164750957854405,-1.6628352490421456,27.154578799489144,OR
2023-11-19,11.997942386831276,1.395061728395062,17.08494480793791,OR
2023-11-26,8.71863799283154,-6.06810035842294,3.4025248677248676,OR
2023-12-03,6.055555555555555,-5.820788530465951,27.34128571428571,OR
2023-12-10,7.097222222222222,-2.78968253968254,58.46825582922824,OR
2023-12-17,8.127777777777778,-1.7444444444444445,11.03420855977541,OR
2023-12-24,6.048148148148148,-4.237037037037037,13.928559346363684,OR
2023-12-31,6.888888888888889,-2.2674897119341564,16.284594739870602,OR
