"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72314453890","2025-01-01","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  46.5","24","  29.8","24","9999.9"," 0","976.8","19"," 10.0","24","  6.7","24"," 15.0"," 24.1","  55.4","*","  35.6","*"," 0.00","I","999.9","000000"
"72314453890","2025-01-02","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  37.0","24","  20.6","24","9999.9"," 0","984.6","24"," 10.0","24","  2.2","24","  8.9"," 18.1","  46.4","*","  26.6","*"," 0.00","I","999.9","000000"
"72314453890","2025-01-03","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  35.2","24","  22.1","24","9999.9"," 0","982.6","24","  9.9","24","  5.2","24"," 24.1"," 31.1","  50.0","*","  26.6","*","99.99"," ","999.9","011000"
"72314453890","2025-01-04","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  33.3","24","   9.6","24","9999.9"," 0","983.5","24"," 10.0","24","  3.7","24"," 18.1"," 28.0","  41.0","*","  24.8","*"," 0.00","I","999.9","000000"
"72314453890","2025-01-05","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  30.3","24","  11.8","24","9999.9"," 0","984.2","24"," 10.0","24","  0.9","24","  6.0","999.9","  35.6","*","  23.0","*","99.99"," ","999.9","010000"
"72314453890","2025-01-06","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  34.6","24","  30.1","24","9999.9"," 0","971.4","24","  8.1","24","  2.4","24"," 19.0"," 28.9","  46.4","*","  32.0","*","99.99"," ","999.9","011000"
"72314453890","2025-01-07","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  33.8","24","  16.6","24","9999.9"," 0","980.0","24"," 10.0","24","  5.6","24"," 11.1"," 19.0","  44.6","*","  26.6","*"," 0.00","I","999.9","000000"
"72314453890","2025-01-08","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  30.6","24","  14.6","24","9999.9"," 0","983.4","24"," 10.0","24","  3.1","24","  8.0","999.9","  42.8","*","  23.0","*"," 0.00","I","999.9","000000"
"72314453890","2025-01-09","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  27.1","24","   8.2","24","9999.9"," 0","982.5","24"," 10.0","24","  3.2","24","  8.9"," 15.0","  39.2","*","  19.4","*"," 0.00","I","999.9","000000"
"72314453890","2025-01-10","35.42806","-81.935","328.6","RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US","  28.6","24","  14.2","24","9999.9"," 0","980.4","24","  8.0","24","  1.9","24","  7.0","999.9","  32.0","*","  24.8","*","99.99"," ","999.9","011000"
