DATE,MAX,MIN,PRCP,TAVG,State
2024-01-07,8.617699304891422,-5.151062311160834,2.9297505999747373,1.7333184968652948,NM
2024-01-14,7.915167975661954,-7.6031252190105505,1.1594604141580003,0.1560213783257023,NM
2024-01-21,10.731226131609274,-5.829830751765618,0.0,2.450697689921828,NM
2024-01-28,12.143569767144646,-1.1342579812386577,4.608112173913043,5.504655892952995,NM
2024-02-04,14.918853470719919,-0.8369489694558113,1.619807724867725,7.040952250632054,NM
2024-02-11,11.823057084313243,-1.5079530084948802,6.296920512820513,5.1575520379091815,NM
2024-02-18,13.50968380278725,-4.918487642625573,0.3611246684350133,4.295598080080839,NM
2024-02-25,19.591628584171,-1.093253606253059,0.0,9.249187488958972,NM
2024-03-03,18.770249606867015,0.9911479917637553,3.8837068053274946,9.880698799315384,NM
2024-03-10,16.214208246091115,-0.45441738849647983,0.8795636288998359,7.879895428797317,NM
2024-03-17,16.498724040503152,1.0723526264272556,4.023380136256658,8.785538333465203,NM
2024-03-24,18.085787810883595,1.6121329004470766,2.9065270655270656,9.848960355665337,NM
2024-03-31,17.35592004703116,1.8722398589065254,1.730962962962963,9.614079952968842,NM
2024-04-07,20.336544961960946,1.7338648520285083,2.3897683378945445,11.035204906994725,NM
2024-04-14,22.414242708577685,2.100193525686137,2.556891625615764,12.257218117131911,NM
2024-04-21,24.591471782084806,5.176817506319423,0.2916296296296296,14.884144644202115,NM
2024-04-28,25.406742439583162,6.028838663211952,0.7999914529914529,15.717790551397558,NM
2024-05-05,26.85696909670637,6.9735304935085995,0.18188040503557742,16.915249795107485,NM
2024-05-12,24.939340677162242,7.359698694947737,5.945972527472527,16.14951968605499,NM
2024-05-19,28.735453936887982,8.956396669680743,4.33916616759996,18.84592530328436,NM
2024-05-26,29.48101884431934,9.225007819219641,0.0,19.35301333176949,NM
2024-06-02,31.954560559856127,11.091836734693876,2.693901477832512,21.523198647275002,NM
2024-06-09,35.127267935697056,15.62035408032945,1.5853856504287536,25.373811008013256,NM
2024-06-16,34.32527691955716,15.017693991831923,12.572722839740079,24.671485455694544,NM
2024-06-23,32.82960093688063,16.858275363064635,11.530586894586893,24.843938149972637,NM
2024-06-30,35.44249100399894,18.520742485028197,12.920893162393162,26.98161674451357,NM
2024-07-07,34.04079977195057,16.711314369052467,8.764382682132682,25.376057070501513,NM
2024-07-14,33.806000316555874,15.59599070682404,7.220543390313391,24.700995511689957,NM
2024-07-21,34.29807929724596,17.08518868991091,11.634705185185185,25.69163399357844,NM
2024-07-28,32.69196287251843,15.829237326459548,14.189782364672363,24.260600099488986,NM
2024-08-04,35.65037489259712,18.041239090127977,3.421908262108262,26.845806991362547,NM
2024-08-11,34.17611093623683,17.684910816342125,11.003197261869675,25.930510876289475,NM
2024-08-18,34.73304095466657,17.649667623017375,5.505357120121257,26.191354288841975,NM
2024-08-25,35.244732214004244,17.61990355181926,2.929285006385696,26.43231788291175,NM
2024-09-01,30.282363243296466,14.799344399645438,11.021897113104009,22.540853821470954,NM
2024-09-08,29.02262505683414,12.660432287005905,5.352803229337711,20.841528671920024,NM
2024-09-15,31.87490791253791,12.660139344731574,0.18421443307650204,22.26752362863474,NM
2024-09-22,29.49657647386164,12.878966360425038,8.792896769258839,21.187771417143342,NM
2024-09-29,30.202244840039036,10.991989643877986,0.13842328042328045,20.59711724195851,NM
2024-10-06,30.436763147149026,10.192028812376376,0.017517241379310346,20.3143959797627,NM
2024-10-13,29.586421925091877,9.166725310813982,0.008758620689655173,19.376573617952932,NM
2024-10-20,23.825789193170145,7.875735830894562,32.08593541717541,15.850762512032352,NM
2024-10-27,25.45865587614356,5.65520173586676,1.9484802955665024,15.55692880600516,NM
2024-11-03,22.077794848481528,4.440475148543138,5.151651138716356,13.259134998512334,NM
2024-11-10,12.168660770395856,-1.0439718450172746,12.441917741288085,5.56234446268929,NM
2024-11-17,18.074105495753006,-0.17822376289809233,0.009407407407407408,8.947940866427457,NM
2024-11-24,15.83952029087497,-1.062747065620629,10.244666666666665,7.388386612627171,NM
2024-12-01,15.071491776787344,-0.6875635311595901,0.4618712643678161,7.191964122813877,NM
2024-12-08,13.069610602861834,-1.8514784841139522,0.06919310344827585,5.609066059373942,NM
