DATE,MAX,MIN,PRCP
2023-01-01,18.55555555555555,11.733752620545074,3.809056603773585
2023-01-08,19.018219832735966,6.968936678614099,11.380403225806452
2023-01-15,15.886678455643972,3.547745358090187,22.04676392572944
2023-01-22,16.75449454759799,6.331417624521071,17.2731299734748
2023-01-29,14.478337754199824,1.3962569997052772,25.318567639257296
2023-02-05,15.026308054085835,6.190035273368607,28.382566137566133
2023-02-12,19.16872427983539,6.184303350970018,21.805238095238092
2023-02-19,20.182686654908878,4.671516754850088,12.719206349206349
2023-02-26,24.139917695473255,12.68430335097002,14.304047619047617
2023-03-05,24.788212815990597,13.036596119929452,18.003148148148146
2023-03-12,20.463851851851846,7.641185185185183,15.756026666666665
2023-03-19,16.46825396825397,4.062294100029947,16.484555256064688
2023-03-26,21.699441504997058,8.84538506760729,20.92037037037037
2023-04-02,23.055407407407408,11.276592592592594,16.101146666666665
2023-04-09,23.1166960611405,11.146384479717813,30.52981481481481
2023-04-16,24.086419753086417,9.673133450911225,22.2481746031746
2023-04-23,26.31319811875367,10.389476778365669,12.453703703703704
2023-04-30,23.44694297472075,13.4782480893592,33.446349206349204
2023-05-07,23.59566250742721,9.275698158051103,4.289652406417112
2023-05-14,28.615226337448558,16.787184009406232,17.75611111111111
2023-05-21,26.33760683760684,17.53197760094312,31.92286472148541
2023-05-28,23.730179781903914,14.345122310639548,22.892732095490715
2023-06-04,27.319958847736626,16.568930041152264,7.947222222222221
2023-06-11,28.509259259259256,15.598177542621986,23.58058201058201
2023-06-18,29.681697612732094,18.525198938992048,20.002440318302384
2023-06-25,28.370958259847143,34.83318636096414,37.49455026455026
2023-07-02,32.28542034097589,21.05173427395649,16.956243386243386
2023-07-09,33.02186283318358,22.760107816711596,33.21967654986523
2023-07-16,32.352586713697825,22.41593180482069,28.372724867724866
2023-07-23,33.22060552616109,22.45149911816579,24.642936507936504
2023-07-30,32.60361552028219,22.287477954144624,23.63153439153439
2023-08-06,31.18388739143456,21.38978736148547,28.123045822102426
2023-08-13,32.88123123123123,21.947447447447452,30.86924324324324
2023-08-20,33.10901467505241,22.135220125786166,21.573908355795147
2023-08-27,33.984674329501914,22.174182139699386,14.339310344827586
2023-09-03,44.41931216931217,49.17989417989418,24.542195767195764
2023-09-10,32.030276308054084,19.99147560258671,15.645925925925926
2023-09-17,29.261968085106382,18.718232860520093,21.625558510638296
2023-09-24,27.03321575543798,16.18092298647854,9.84579365079365
2023-10-01,27.093731431966724,16.524064171122994,7.7551069518716576
2023-10-08,27.101557907113467,14.35390946502058,7.935873015873015
2023-10-15,23.59641387419165,12.031893004115226,18.870767195767193
2023-10-22,22.05276308054086,8.81216931216931,16.156190476190478
2023-10-29,25.884332745443857,10.638007054673718,1.3226190476190476
2023-11-05,21.156672545561435,5.665931804820694,4.496931216931217
2023-11-12,23.499118165784825,9.207378012933567,18.01362433862434
2023-11-19,20.939976169198683,9.628537384569553,11.266005361930294
2023-11-26,16.978286912249175,7.205600479185389,24.059433962264148
2023-12-03,16.911379207625856,5.029788501638366,18.509946380697052
2023-12-10,18.03556731334509,5.182098765432098,9.014338624338624
2023-12-17,15.266843971631204,2.020537825059101,14.422606382978723
2023-12-24,15.653189577717878,1.1527403414195843,6.293584905660378
2023-12-31,15.306379155435756,6.955226115603475,21.122991913746628
