datetime,TMAX,TMIN,PRCP
20250611,31.33930206298828,18.505863189697266,8.167986869812012
20250612,30.549287796020508,17.69603729248047,16.099842071533203
20250613,30.582725524902344,18.03011131286621,20.819334030151367
20250614,30.90887451171875,18.119176864624023,23.477020263671875
20250615,31.143898010253906,18.099206924438477,15.156893730163574
20250616,31.332489013671875,17.817907333374023,12.012678146362305
20250617,30.492393493652344,17.68446922302246,9.738510131835938
20250618,30.908716201782227,17.888431549072266,11.748019218444824
20250619,32.6472282409668,18.458003997802734,10.12836742401123
20250620,33.225196838378906,19.222820281982422,6.790808200836182
20250621,33.00079345703125,19.08938217163086,9.175910949707031
20250622,32.43771743774414,19.04009437561035,8.438985824584961
20250623,32.927734375,18.85594367980957,5.675118923187256
20250624,32.27797317504883,18.362123489379883,5.489698886871338
20250625,32.90871810913086,18.49049186706543,5.770205974578857
20250626,32.90871810913086,18.49049186706543,5.770205974578857
