State,AREA1,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
NEW JERSEY,NJ,2025-04-07,9.600000381469727,10.600000381469727,16.899999618530273,17.75,3.6500000953674316,4.449999809265137,24.25,22.799999237060547,15,2024-04-14,21.332940868655157,6.1641810570382,19.943186813186813,13.748560962846678
NEW JERSEY,NJ,2025-04-14,12.100000381469727,12.149999618530273,19.700000762939453,19.299999237060547,5.599999904632568,5.849999904632568,14.800000190734863,25.200000762939453,16,2024-04-21,20.6953107738822,6.303008895866038,4.973096703296703,13.49915983487412
NEW JERSEY,NJ,2025-04-21,13.699999809265137,13.199999809265137,20.950000762939453,20.350000381469727,7.5,7.0,22.25,23.299999237060547,17,2024-04-28,19.79016803302517,2.491359962788534,1.5965714285714283,11.140763997906856
NEW JERSEY,NJ,2025-04-28,15.149999618530273,14.350000381469727,22.450000762939453,21.399999618530273,8.850000381469727,8.300000190734863,16.049999237060547,22.100000381469727,18,2024-05-05,24.579077271934413,10.48755450898308,6.712205860805861,17.53331589045875
NEW JERSEY,NJ,2025-05-05,16.200000762939453,15.449999809265137,23.25,22.399999618530273,10.149999618530273,9.449999809265137,23.200000762939453,23.25,19,2024-05-12,23.552363509506367,10.473385080527937,17.332662271062272,17.012874295017152
NEW JERSEY,NJ,2025-05-12,16.549999237060547,16.399999618530273,23.5,23.399999618530273,10.449999809265137,10.350000381469727,26.649999618530273,24.200000762939453,20,2024-05-19,21.70179516250945,11.326643990929709,14.927942857142856,16.514219576719576
NEW JERSEY,NJ,2025-05-19,18.049999237060547,17.850000381469727,25.100000381469727,24.799999237060547,11.75,11.649999618530273,21.399999618530273,22.600000381469727,21,2024-05-26,29.196354439211586,13.712669341240767,8.523142124542124,21.454511890226176
NEW JERSEY,NJ,2025-05-26,19.5,19.5,26.350000381469727,26.299999237060547,13.5,13.350000381469727,26.799999237060547,24.75,22,2024-06-02,27.54994767137624,13.592200127914412,23.136050549450548,20.57107389964533
NEW JERSEY,NJ,2025-06-02,21.149999618530273,20.549999237060547,27.799999237060547,27.149999618530273,15.25,14.550000190734863,28.25,29.100000381469727,23,2024-06-09,29.08783650212222,15.93543810686668,19.22007765567765,22.51163730449445
NEW JERSEY,NJ,2025-06-09,22.100000381469727,21.649999618530273,28.5,28.100000381469727,16.350000381469727,15.800000190734863,29.649999618530273,25.5,24,2024-06-16,28.224357520786093,13.98514739229025,2.4710571428571426,21.10475245653817
NEW JERSEY,NJ,2025-06-16,23.299999237060547,22.75,29.450000762939453,29.100000381469727,17.700000762939453,16.950000762939453,25.25,22.350000381469727,25,2024-06-23,34.19427582999011,18.85139833711262,8.015235164835165,26.52283708355137
NEW JERSEY,NJ,2025-06-23,24.850000381469727,24.0,31.100000381469727,30.25,19.0,18.100000381469727,20.299999237060547,21.549999237060547,26,2024-06-30,31.88490319204605,18.174617710332,24.93512417582417,25.029760451189023
NEW JERSEY,NJ,2025-06-30,25.799999237060547,24.700000762939453,31.899999618530273,30.899999618530273,20.0,18.950000762939453,18.700000762939453,24.25,27,2024-07-07,31.87621928336214,18.29588348159777,30.035461938061932,25.086051382479955
NEW JERSEY,NJ,2025-07-07,25.649999618530273,25.200000762939453,31.700000762939453,31.350000381469727,19.950000762939453,19.450000762939453,34.79999923706055,26.399999618530273,28,2024-07-14,33.157378335949765,22.394129019129014,29.68334249084249,27.77575367753939
NEW JERSEY,NJ,2025-07-14,26.299999237060547,25.5,32.29999923706055,31.700000762939453,20.850000381469727,19.899999618530273,33.95000076293945,27.649999618530273,29,2024-07-21,33.275510204081634,20.186289900575616,22.60879120879121,26.730900052328625
NEW JERSEY,NJ,2025-07-21,26.350000381469727,25.350000381469727,32.150001525878906,31.399999618530273,21.200000762939453,20.049999237060547,37.849998474121094,31.799999237060547,30,2024-07-28,30.307125414268278,18.882216989359847,7.83631868131868,24.594671201814062
NEW JERSEY,NJ,2025-07-28,26.100000381469727,25.100000381469727,31.700000762939453,31.0,21.0,19.799999237060547,44.29999923706055,31.049999237060547,31,2024-08-04,33.77651316937031,20.83359497645212,30.88751648351648,27.30505407291122
NEW JERSEY,NJ,2025-08-04,25.25,24.700000762939453,30.850000381469727,30.649999618530273,20.100000381469727,19.350000381469727,31.299999237060547,29.100000381469727,32,2024-08-11,29.471938775510203,20.16581632653061,76.35119047619047,24.81887755102041
NEW JERSEY,NJ,2025-08-11,24.850000381469727,24.25,30.700000762939453,30.100000381469727,19.649999618530273,19.0,30.399999618530273,31.25,33,2024-08-18,30.03978561121418,16.502822574251148,7.3701868131868125,23.271304092732667
NEW JERSEY,NJ,2025-08-18,24.600000381469727,23.75,30.399999618530273,29.700000762939453,19.200000762939453,18.299999237060547,25.399999618530273,27.950000762939453,34,2024-08-25,27.308906041048896,13.422895226466654,22.919080586080582,20.36590063375777
NEW JERSEY,NJ,2025-08-25,24.149999618530273,23.299999237060547,30.25,29.450000762939453,18.600000381469727,17.700000762939453,25.149999618530273,22.450000762939453,35,2024-09-01,30.52222116507831,17.862078397792683,14.741282883782883,24.192149781435496
NEW JERSEY,NJ,2025-09-01,23.5,22.549999237060547,29.5,28.75,18.149999618530273,17.049999237060547,29.5,20.5,36,2024-09-08,26.30511948369091,11.891810570382,4.126802197802197,19.098465027036458
