5Year Mean TMAX,5Year Mean TMIN,5Year Mean PRCP,5Year Mean TAVG
6.199588195877764,-6.384875371414092,30.015929078811308,-0.09233968643863441
5.868202592309946,-8.124765339026215,23.61050705029892,-1.1284315997400012
13.574998342779574,-0.6620416976521399,61.9335929648423,6.456677510415412
19.901946385689058,3.8014103453613783,39.747780766843924,11.852298812906094
23.446467955079434,10.833554003385139,162.30284260729138,17.13992989997647
30.70157472089091,17.04973498670841,95.57906991777365,23.876077123253513
32.70441936230052,19.355049752652118,101.09851154290111,26.029952490884774
32.66265107767922,18.368624833187244,85.41204692119706,25.515705497708797
29.775416517924423,14.346773464248503,51.75727246010401,22.06183902863804
20.91329407215674,5.324460266551189,51.35259465941742,13.118639242715142
14.349275341128408,-0.9905990677989343,28.36270703381239,6.680080282242246
9.371624790775192,-4.4690224123336355,30.41074817771162,2.451446834940797
