datetime,TMAX,TMIN,PRCP
20250611,30.55555534362793,19.38888931274414,6.222222328186035
20250612,30.455554962158203,18.77777862548828,17.0
20250613,28.933332443237305,19.55555534362793,26.22222137451172
20250614,29.5222225189209,20.211111068725586,32.33333206176758
20250615,29.0222225189209,19.600000381469727,39.22222137451172
20250616,30.38888931274414,19.488889694213867,38.44444274902344
20250617,30.61111068725586,19.77777862548828,13.44444465637207
20250618,30.344444274902344,20.077777862548828,36.33333206176758
20250619,31.677778244018555,20.64444351196289,48.88888931274414
20250620,32.36666488647461,21.33333396911621,25.66666603088379
20250621,32.78888702392578,21.58888816833496,35.66666793823242
20250622,32.522220611572266,21.64444351196289,14.0
20250623,32.74444580078125,21.58888816833496,13.0
20250624,32.79999923706055,21.46666717529297,11.55555534362793
20250625,33.099998474121094,21.433332443237305,11.333333015441895
20250626,33.099998474121094,21.433332443237305,11.333333015441895
