State,datetime,value
ILLINOIS,2024-05-03,710913374.9307737
ILLINOIS,2024-05-10,711659192.2648019
ILLINOIS,2024-05-17,710802348.2686688
ILLINOIS,2024-05-24,711480000.0
ILLINOIS,2024-06-07,711140621.4963624
ILLINOIS,2024-06-14,699278549.6547909
ILLINOIS,2024-06-21,704718248.252371
ILLINOIS,2024-06-28,698522425.9155935
ILLINOIS,2024-07-05,698547722.0260898
ILLINOIS,2024-07-12,698547722.0260898
ILLINOIS,2024-07-15,699154368.7487183
ILLINOIS,2024-07-19,694764171.2809318
ILLINOIS,2024-07-26,700097568.7232676
ILLINOIS,2024-08-02,699076870.6647434
ILLINOIS,2024-08-09,690228923.6159135
ILLINOIS,2024-08-16,687730070.3370043
ILLINOIS,2024-08-23,690282562.8683977
ILLINOIS,2024-08-30,709599914.6524038
