State,AREA1,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
MICHIGAN,MI,2025-04-07,4.214285850524902,6.314285755157471,11.157142639160156,13.371428489685059,-1.9428571462631226,0.12857143580913544,9.600000381469727,21.0,15,2024-04-14,18.142386949382686,4.464386116487814,20.369162755774745,11.30338653293525
MICHIGAN,MI,2025-04-14,8.128571510314941,8.171428680419922,15.785714149475098,15.528571128845215,1.3714286088943481,1.6714285612106323,17.94285774230957,21.52857208251953,16,2024-04-21,15.609205790878528,3.931297144402628,16.024024857980667,9.770251467640575
MICHIGAN,MI,2025-04-21,9.842857360839844,9.399999618530273,17.47142791748047,16.814285278320312,2.9285714626312256,2.700000047683716,21.0,20.85714340209961,17,2024-04-28,17.324973604667797,2.553432918581325,10.448814085463374,9.93920326162456
MICHIGAN,MI,2025-04-28,11.885714530944824,11.014286041259766,19.314285278320312,18.27142906188965,4.900000095367432,4.257143020629883,18.128570556640625,20.41428565979004,18,2024-05-05,21.059051339995136,7.989116393791134,30.352197731999627,14.524083866893134
MICHIGAN,MI,2025-05-05,13.014286041259766,12.600000381469727,20.371429443359375,19.871429443359375,6.0,5.742856979370117,19.785715103149414,21.314285278320312,19,2024-05-12,19.79395787714509,5.846159812376018,18.26421794243417,12.820058844760554
MICHIGAN,MI,2025-05-12,13.485713958740234,13.628571510314941,20.657142639160156,20.928571701049805,6.5714287757873535,6.628571510314941,22.299999237060547,23.0,20,2024-05-19,23.83825587061906,9.159851578409317,6.793904721175712,16.49905372451419
MICHIGAN,MI,2025-05-19,15.285714149475098,15.142857551574707,22.799999237060547,22.542856216430664,7.842857360839844,7.985714435577393,16.514286041259766,20.457143783569336,21,2024-05-26,25.74653085532051,11.32947294238548,18.74213862687148,18.538001898853
MICHIGAN,MI,2025-05-26,17.35714340209961,16.700000762939453,24.685714721679688,24.02857208251953,10.114285469055176,9.54285717010498,17.242856979370117,19.05714225769043,22,2024-06-02,22.433060976881784,8.801969409850173,26.325605374265344,15.617515193365978
MICHIGAN,MI,2025-06-02,17.885713577270508,17.799999237060547,25.02857208251953,25.02857208251953,10.800000190734863,10.699999809265137,22.128570556640625,19.042856216430664,23,2024-06-09,24.720280261809247,12.600758841551322,21.28719466297381,18.660519551680284
MICHIGAN,MI,2025-06-09,20.014286041259766,19.200000762939453,27.0,26.314285278320312,13.100000381469727,12.171428680419922,26.52857208251953,21.871429443359375,24,2024-06-16,25.71938894317078,10.60832282057344,3.700273669478252,18.163855881872117
MICHIGAN,MI,2025-06-16,20.985713958740234,20.257143020629883,27.97142791748047,27.242856979370117,13.985713958740234,13.314285278320312,22.385713577270508,22.885713577270508,25,2024-06-23,29.84714892847538,18.171136262374745,44.01613476401108,24.00914259542506
MICHIGAN,MI,2025-06-23,22.428571701049805,20.928571701049805,29.299999237060547,27.828571319580078,15.5,14.014286041259766,18.385713577270508,20.428571701049805,26,2024-06-30,25.887534274071182,13.426875760224725,34.48240770335912,19.657205017147955
MICHIGAN,MI,2025-06-30,23.042856216430664,21.41428565979004,30.02857208251953,28.285715103149414,15.914285659790039,14.471428871154785,18.785715103149414,19.257143020629883,27,2024-07-07,26.10918069058189,13.522983524614617,10.64784266009852,19.816082107598252
MICHIGAN,MI,2025-07-07,22.571428298950195,21.799999237060547,29.385713577270508,28.628570556640625,15.414285659790039,14.771428108215332,18.114286422729492,21.814285278320312,28,2024-07-14,28.307326141386334,16.39760650779905,31.649416602135226,22.35246632459269
MICHIGAN,MI,2025-07-14,23.014286041259766,22.071428298950195,29.757143020629883,28.814285278320312,16.14285659790039,15.242856979370117,22.200000762939453,21.928571701049805,29,2024-07-21,27.001676467862517,15.000927896490326,17.7836155134519,21.00130218217642
MICHIGAN,MI,2025-07-21,22.871429443359375,21.871429443359375,29.41428565979004,28.5,16.257143020629883,15.228571891784668,22.72857093811035,23.100000381469727,30,2024-07-28,26.9495707792985,13.29621667072627,9.400541708766934,20.122893725012386
MICHIGAN,MI,2025-07-28,22.399999618530273,21.614286422729492,29.014286041259766,28.27142906188965,15.728571891784668,14.985713958740234,23.328571319580078,22.314285278320312,31,2024-08-04,30.128937472424862,18.220759193397207,19.01197624135124,24.17484833291104
MICHIGAN,MI,2025-08-04,21.64285659790039,21.214284896850586,28.257143020629883,27.94285774230957,15.128571510314941,14.671428680419922,23.185714721679688,21.685714721679688,32,2024-08-11,25.35089208474736,13.836097427959324,20.115675412278435,19.593494756353344
MICHIGAN,MI,2025-08-11,21.785715103149414,20.742856979370117,28.485713958740234,27.47142791748047,15.342857360839844,14.271428108215332,23.97142791748047,22.171428680419922,33,2024-08-18,26.83300655803656,14.45810512841534,22.340783566093343,20.645555843225956
MICHIGAN,MI,2025-08-18,21.58571434020996,20.44285774230957,28.35714340209961,27.14285659790039,15.057143211364746,14.014286041259766,24.35714340209961,23.171428680419922,34,2024-08-25,24.97925568145752,10.863035910626982,1.9075584816825408,17.92114579604225
MICHIGAN,MI,2025-08-25,20.77142906188965,20.042856216430664,27.657142639160156,26.85714340209961,14.300000190734863,13.585714340209961,22.171428680419922,24.314285278320312,35,2024-09-01,28.84363462092219,17.313106072225825,15.361662678577929,23.078370346574008
MICHIGAN,MI,2025-09-01,19.985713958740234,19.0,27.071428298950195,26.014286041259766,13.399999618530273,12.414285659790039,21.314285278320312,22.242856979370117,36,2024-09-08,23.73689975049161,8.4747476831967,5.853392073411613,16.105823716844153
