datetime,TMAX,TMIN,PRCP
20250611,28.843978881835938,19.35668182373047,18.643171310424805
20250612,28.375476837158203,18.749486923217773,46.16740036010742
20250613,27.586563110351562,18.977827072143555,51.79735565185547
20250614,27.640380859375,19.23340606689453,55.562408447265625
20250615,28.23898696899414,19.052349090576172,25.484580993652344
20250616,29.293392181396484,19.223495483398438,17.562408447265625
20250617,29.38538932800293,19.595375061035156,23.206314086914062
20250618,29.60917854309082,19.96916389465332,28.588106155395508
20250619,30.857563018798828,20.461894989013672,16.682085037231445
20250620,31.490602493286133,20.89764976501465,14.253303527832031
20250621,31.80719566345215,20.96108627319336,18.556533813476562
20250622,31.462995529174805,21.08083724975586,24.390602111816406
20250623,31.468795776367188,20.81688690185547,15.505139350891113
20250624,31.568796157836914,20.757781982421875,11.408223152160645
20250625,32.23443603515625,21.019969940185547,9.341409683227539
20250626,32.23443603515625,21.019969940185547,9.341409683227539
