State,2024-08-30
ARKANSAS,97.0
ILLINOIS,93.0
INDIANA,90.0
IOWA,90.0
KANSAS,79.0
KENTUCKY,85.0
LOUISIANA,95.0
MICHIGAN,96.0
MINNESOTA,89.0
MISSISSIPPI,98.0
MISSOURI,79.0
NEBRASKA,96.0
NORTH CAROLINA,86.0
NORTH DAKOTA,77.0
OHIO,95.0
SOUTH DAKOTA,87.0
TENNESSEE,92.0
WISCONSIN,90.0
