State,AREA1,date,TAVG,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y
MAINE,ME,2024-08-05,18.549999237060547,19.850000381469727,25.0,26.649999618530273,12.449999809265137,13.649999618530273,26.25,24.549999237060547,33,2023-08-20,24.26330532212885,14.687850140056025,21.24168382352941
MAINE,ME,2024-08-12,19.700000762939453,19.350000381469727,26.200000762939453,26.100000381469727,13.550000190734863,13.149999618530273,35.54999923706055,27.200000762939453,34,2023-08-27,24.995728291316528,11.299170038385723,19.32948300653595
MAINE,ME,2024-08-19,20.049999237060547,18.799999237060547,26.75,25.600000381469727,13.699999809265137,12.399999618530273,24.899999618530273,25.25,35,2023-09-03,24.05778607739392,10.144497613860358,17.541563725490196
MAINE,ME,2024-08-26,19.299999237060547,17.950000762939453,26.350000381469727,24.899999618530273,12.850000381469727,11.5,21.25,22.850000381469727,36,2023-09-10,29.05015432098765,15.57749118165785,10.195277777777775
MAINE,ME,2024-09-02,18.049999237060547,16.899999618530273,24.950000762939453,23.75,11.699999809265137,10.5,25.600000381469727,26.649999618530273,37,2023-09-17,22.10814853719265,13.444491129785249,48.96042990196078
MAINE,ME,2024-09-09,16.75,15.600000381469727,23.649999618530273,22.399999618530273,10.300000190734863,9.25,20.799999237060547,24.299999237060547,38,2023-09-24,20.94269189157145,8.945782016510309,42.14609430438842
MAINE,ME,2024-09-16,15.350000381469727,14.300000190734863,22.049999237060547,21.049999237060547,9.100000381469727,7.900000095367432,28.399999618530273,23.0,39,2023-10-01,20.58707464467269,5.395742556281772,0.3231029411764706
MAINE,ME,2024-09-23,13.850000381469727,13.0,20.350000381469727,19.649999618530273,7.699999809265137,6.849999904632568,32.349998474121094,27.350000381469727,40,2023-10-08,22.922600892208735,10.355897914721444,38.68469803921568
MAINE,ME,2024-09-30,12.050000190734863,11.25,18.700000762939453,17.899999618530273,6.150000095367432,5.300000190734863,26.149999618530273,25.799999237060547,41,2023-10-15,15.464561287477952,4.647823295985061,5.808569117647059
MAINE,ME,2024-10-07,10.050000190734863,9.75,16.700000762939453,16.25,4.199999809265137,4.0,21.25,26.75,42,2023-10-22,15.045706893868658,6.533144646747588,27.891690196078432
MAINE,ME,2024-10-14,9.449999809265137,8.350000381469727,15.600000381469727,14.350000381469727,3.8499999046325684,2.799999952316284,28.75,29.549999237060547,43,2023-10-29,17.246576408341117,4.987939620292562,14.077078431372549
MAINE,ME,2024-10-21,8.0,6.849999904632568,13.649999618530273,12.600000381469727,2.9000000953674316,1.7000000476837158,34.70000076293945,29.950000762939453,44,2023-11-05,8.066007884635335,-1.4455597053636269,14.276294117647058
MAINE,ME,2024-10-28,6.699999809265137,5.599999904632568,12.149999618530273,11.100000381469727,1.7999999523162842,0.6000000238418579,22.399999618530273,26.049999237060547,45,2023-11-12,8.051639174188194,-2.871070650482415,13.969999999999995
MAINE,ME,2024-11-04,5.25,4.199999809265137,10.649999618530273,9.649999618530273,0.3499999940395355,-0.800000011920929,21.049999237060547,22.299999237060547,46,2023-11-19,8.613600995953936,-5.1421049901442055,10.184901960784313
MAINE,ME,2024-11-11,4.0,2.549999952316284,9.300000190734863,7.949999809265137,-0.800000011920929,-2.4000000953674316,27.450000762939453,23.149999618530273,47,2023-11-26,4.625667859736487,-6.9467851955597055,23.1379681372549
MAINE,ME,2024-11-18,2.5,1.100000023841858,7.5,6.449999809265137,-1.9500000476837158,-3.700000047683716,23.350000381469727,23.850000381469727,48,2023-12-03,6.6120707542276165,-4.001556178026767,20.642895424836603
MAINE,ME,2024-11-25,1.350000023841858,-0.10000000149011612,6.300000190734863,5.099999904632568,-3.1500000953674316,-4.849999904632568,29.799999237060547,25.649999618530273,49,2023-12-10,0.2078016391741881,-10.392701525054466,10.792509803921568
MAINE,ME,2024-12-02,-0.8500000238418579,-1.899999976158142,4.099999904632568,3.299999952316284,-5.300000190734863,-6.650000095367432,22.5,24.049999237060547,50,2023-12-17,5.599310094408133,-5.735371926548397,53.34249019607843
MAINE,ME,2024-12-09,-2.8499999046325684,-3.5999999046325684,2.3499999046325684,1.7000000476837158,-7.5,-8.550000190734863,25.5,24.5,51,2023-12-24,5.680283687549093,-5.378688049293792,54.392181956115785
MAINE,ME,2024-12-16,-2.9000000953674316,-4.300000190734863,2.299999952316284,0.949999988079071,-7.800000190734863,-9.350000381469727,26.049999237060547,25.100000381469727,52,2023-01-01,9.595238095238097,0.8611111111111113,6.35
MAINE,ME,2024-12-16,-2.9000000953674316,-4.300000190734863,2.299999952316284,0.949999988079071,-7.800000190734863,-9.350000381469727,26.049999237060547,25.100000381469727,52,2023-12-31,4.699942940139018,-1.243023135179998,18.375156862745097
MAINE,ME,2024-12-30,-6.099999904632568,-6.5,-0.75,-0.949999988079071,-11.350000381469727,-11.75,16.700000762939453,20.700000762939453,2,2023-01-15,0.2596891534391534,-10.26464947089947,33.002008333333336
MAINE,ME,2025-01-06,-6.599999904632568,-7.150000095367432,-1.0499999523162842,-1.5,-11.949999809265137,-12.550000190734863,19.100000381469727,19.899999618530273,3,2023-01-22,0.9343253968253966,-7.334160052910052,38.996408333333335
MAINE,ME,2025-01-13,-7.0,-7.900000095367432,-1.0,-2.0,-12.75,-13.5,18.600000381469727,21.049999237060547,4,2023-01-29,2.23968253968254,-9.885714285714286,55.55826666666666
