,State,Year,Value,AREA1,AREA
0,SOUTH CAROLINA,2019,1.7485000000000002,SC,SCRL
1,SOUTH CAROLINA,2020,2.3537500000000002,SC,SCRL
2,SOUTH CAROLINA,2021,2.5555000000000003,SC,SCRL
3,SOUTH CAROLINA,2022,2.4882500000000003,SC,SCRL
4,SOUTH CAROLINA,2023,2.6227500000000004,SC,SCRL
