State,datetime,value
KANSAS,2024-05-03,132540651.75769415
KANSAS,2024-05-10,132842530.20241985
KANSAS,2024-05-17,132495712.3944612
KANSAS,2024-05-24,132770000.00000006
KANSAS,2024-06-07,132632632.51043242
KANSAS,2024-06-14,130653321.11882174
KANSAS,2024-06-21,131444090.12623665
KANSAS,2024-06-28,130347282.6690243
KANSAS,2024-07-05,130357498.3006603
KANSAS,2024-07-12,130357498.3006603
KANSAS,2024-07-15,130603057.41874474
KANSAS,2024-07-19,129531579.60853878
KANSAS,2024-07-26,131690335.71615084
KANSAS,2024-08-02,131277184.39068006
KANSAS,2024-08-09,129106874.61311977
KANSAS,2024-08-16,128800940.87936416
KANSAS,2024-08-23,129834080.98314564
KANSAS,2024-08-30,146742633.91537678
