datetime,TMAX,TMIN,PRCP
20250522,25.336360931396484,15.674537658691406,16.086017608642578
20250523,25.34372901916504,14.201438903808594,7.276216506958008
20250524,25.987045288085938,15.748251914978027,25.28786849975586
20250525,26.537799835205078,16.577552795410156,41.92906188964844
20250526,25.571556091308594,16.555517196655273,99.3704605102539
20250527,24.880088806152344,15.816038131713867,50.80123519897461
20250528,25.040199279785156,15.366518020629883,21.228580474853516
20250529,26.016963958740234,15.439616203308105,25.03392791748047
20250530,27.503700256347656,16.04900550842285,12.430774688720703
20250531,28.74170684814453,16.953495025634766,6.562028884887695
20250601,29.45771026611328,18.12868309020996,10.83413314819336
20250602,30.392356872558594,18.815319061279297,15.725497245788574
20250603,30.415489196777344,19.301027297973633,15.532898902893066
20250604,29.86693000793457,19.136051177978516,15.600411415100098
20250605,30.14266586303711,18.989582061767578,8.785126686096191
20250606,30.14266586303711,18.989582061767578,8.785126686096191
