State,AREA1,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
MASSACHUSETTS,MA,2025-05-05,13.300000190734863,12.899999618530273,19.100000381469727,19.0,9.0,8.199999809265137,29.5,19.600000381469727,19,2024-05-12,18.61173358232182,7.280530267662621,24.63218954248366,12.94613192499222
MASSACHUSETTS,MA,2025-05-12,13.899999618530273,13.800000190734863,20.200000762939453,20.0,9.199999809265137,9.0,22.899999618530273,21.899999618530273,20,2024-05-19,19.82480677456168,9.5539766832659,34.040461601307186,14.689391728913789
MASSACHUSETTS,MA,2025-05-19,15.399999618530273,15.300000190734863,21.600000381469727,21.700000762939453,10.399999618530273,10.300000190734863,17.299999237060547,18.899999618530273,21,2024-05-26,25.84595458553792,11.069609788359788,13.372041666666664,18.45778218694885
MASSACHUSETTS,MA,2025-05-26,17.399999618530273,16.799999237060547,23.700000762939453,23.299999237060547,12.399999618530273,11.800000190734863,19.200000762939453,20.399999618530273,22,2024-06-02,25.18479938271605,11.706238977072312,39.26945833333333,18.44551917989418
MASSACHUSETTS,MA,2025-06-02,19.200000762939453,17.799999237060547,25.700000762939453,24.200000762939453,14.100000381469727,12.899999618530273,27.700000762939453,26.799999237060547,23,2024-06-09,25.8633837794377,13.29491518829754,6.099112745098038,19.57914948386762
MASSACHUSETTS,MA,2025-06-09,20.100000381469727,19.0,26.200000762939453,25.0,15.199999809265137,14.0,25.0,25.799999237060547,24,2024-06-16,25.04547930283224,12.639219576719578,13.537950980392155,18.84234943977591
MASSACHUSETTS,MA,2025-06-16,21.5,20.399999618530273,27.600000381469727,26.5,16.600000381469727,15.5,21.200000762939453,20.799999237060547,25,2024-06-23,29.254464285714285,16.949625220458554,19.787305555555555,23.10204475308642
MASSACHUSETTS,MA,2025-06-23,23.5,21.899999618530273,29.899999618530273,28.100000381469727,18.299999237060547,16.899999618530273,19.200000762939453,19.600000381469727,26,2024-06-30,28.042152972300038,15.94522901753294,26.515607843137253,21.993690994916484
MASSACHUSETTS,MA,2025-06-30,24.200000762939453,22.700000762939453,30.299999237060547,28.700000762939453,19.200000762939453,17.899999618530273,17.899999618530273,18.399999618530273,27,2024-07-07,28.149211536466435,16.966859892104992,17.33020833333333,22.558035714285715
MASSACHUSETTS,MA,2025-07-07,24.0,23.100000381469727,30.100000381469727,29.100000381469727,19.100000381469727,18.299999237060547,16.899999618530273,18.0,28,2024-07-14,30.62260413424629,21.357963092644464,17.04103431372549,25.990283613445374
MASSACHUSETTS,MA,2025-07-14,24.200000762939453,23.5,30.100000381469727,29.5,19.5,18.700000762939453,23.799999237060547,19.600000381469727,29,2024-07-21,30.891741881937964,19.33691254279489,8.873398692810458,25.114327212366423
MASSACHUSETTS,MA,2025-07-21,24.600000381469727,23.5,30.399999618530273,29.299999237060547,20.200000762939453,18.899999618530273,24.0,22.5,30,2024-07-28,28.05497847287063,16.643009518622264,6.68202614379085,22.348993995746447
MASSACHUSETTS,MA,2025-07-28,24.299999237060547,23.399999618530273,29.700000762939453,28.899999618530273,20.0,18.899999618530273,21.100000381469727,20.200000762939453,31,2024-08-04,30.761635672787637,19.58639705882353,23.445196078431373,25.17401636580558
MASSACHUSETTS,MA,2025-08-04,24.200000762939453,23.100000381469727,29.5,28.600000381469727,20.0,18.700000762939453,25.899999618530273,19.399999618530273,32,2024-08-11,27.8173371200332,16.64122964000415,40.16935294117647,22.229283380018675
MASSACHUSETTS,MA,2025-08-11,23.5,22.600000381469727,29.0,28.200000762939453,19.299999237060547,18.200000762939453,22.5,21.200000762939453,33,2024-08-18,26.27715854860463,15.115011282290691,13.530065359477124,20.69608491544766
MASSACHUSETTS,MA,2025-08-18,22.799999237060547,22.100000381469727,28.399999618530273,27.799999237060547,18.399999618530273,17.700000762939453,19.899999618530273,19.799999237060547,34,2024-08-25,25.31499118165785,13.622222222222222,10.557933333333333,19.46860670194004
MASSACHUSETTS,MA,2025-08-25,22.899999618530273,21.600000381469727,28.399999618530273,27.200000762939453,18.399999618530273,17.0,12.5,15.399999618530273,35,2024-09-01,27.048776455026456,13.659722222222223,3.1361944444444445,20.35424933862434
MASSACHUSETTS,MA,2025-09-01,21.399999618530273,20.600000381469727,27.0,26.399999618530273,16.899999618530273,16.100000381469727,16.899999618530273,16.600000381469727,36,2024-09-08,24.68980184666459,11.503112356053531,2.413830065359477,18.09645710135906
MASSACHUSETTS,MA,2025-09-08,20.299999237060547,19.399999618530273,26.200000762939453,25.200000762939453,15.600000381469727,14.899999618530273,14.699999809265137,20.899999618530273,37,2024-09-15,25.79453262786596,10.181657848324516,0.0,17.988095238095237
MASSACHUSETTS,MA,2025-09-15,19.200000762939453,18.200000762939453,24.700000762939453,23.799999237060547,14.600000381469727,13.600000381469727,22.899999618530273,22.100000381469727,38,2024-09-22,23.283564814814813,12.602292768959437,64.246125,17.942928791887123
MASSACHUSETTS,MA,2025-09-22,18.0,17.0,23.799999237060547,22.5,13.300000190734863,12.5,18.899999618530273,23.0,39,2024-09-29,21.20160934744268,12.56492504409171,17.199680555555556,16.883267195767196
MASSACHUSETTS,MA,2025-09-29,16.799999237060547,15.5,22.399999618530273,21.0,12.300000190734863,11.0,19.100000381469727,22.100000381469727,40,2024-10-06,21.622134038800706,8.846119929453263,0.1552222222222222,15.234126984126984
