Issued At,Date,Min Temperature (C),Max Temperature (C),Possible Rainfall (mm)
4:30 pm EST on Thursday 13 April 2023,Tuesday 18 April,7,20,
4:30 pm EST on Thursday 13 April 2023,Wednesday 19 April,10,19,0 to 1 mm     Chance of any rain
4:30 pm EST on Thursday 13 April 2023,Thursday 20 April,7,18,
5:30 am EST on Friday 14 April 2023,the rest of Friday 14 April,,24,
5:30 am EST on Friday 14 April 2023,Saturday 15 April,13,19,2 to 15 mm    Chance of any rain
5:30 am EST on Friday 14 April 2023,Sunday 16 April,10,17,0 to 6 mm     Chance of any rain
5:30 am EST on Friday 14 April 2023,Monday 17 April,6,19,
5:30 am EST on Friday 14 April 2023,Tuesday 18 April,7,20,
5:30 am EST on Friday 14 April 2023,Wednesday 19 April,10,19,0 to 1 mm     Chance of any rain
5:30 am EST on Friday 14 April 2023,Thursday 20 April,7,18,
4:30 pm EST on Friday 14 April 2023,the rest of Friday 14 April,,,
4:30 pm EST on Friday 14 April 2023,Saturday 15 April,13,20,3 to 20 mm    Chance of any rain
4:30 pm EST on Friday 14 April 2023,Sunday 16 April,11,18,0 to 8 mm     Chance of any rain
4:30 pm EST on Friday 14 April 2023,Monday 17 April,6,19,
4:30 pm EST on Friday 14 April 2023,Tuesday 18 April,7,20,
4:30 pm EST on Friday 14 April 2023,Wednesday 19 April,9,19,
4:30 pm EST on Friday 14 April 2023,Thursday 20 April,7,19,
4:30 pm EST on Friday 14 April 2023,Friday 21 April,7,21,
4:34 pm EST on Friday 14 April 2023,the rest of Friday 14 April,,,
4:34 pm EST on Friday 14 April 2023,Saturday 15 April,13,20,3 to 20 mm    Chance of any rain
4:34 pm EST on Friday 14 April 2023,Sunday 16 April,11,18,0 to 8 mm     Chance of any rain
4:34 pm EST on Friday 14 April 2023,Monday 17 April,6,19,
4:34 pm EST on Friday 14 April 2023,Tuesday 18 April,7,20,
4:34 pm EST on Friday 14 April 2023,Wednesday 19 April,9,19,
4:34 pm EST on Friday 14 April 2023,Thursday 20 April,7,19,
4:34 pm EST on Friday 14 April 2023,Friday 21 April,7,21,
5:30 am EST on Saturday 15 April 2023,the rest of Saturday 15 April,,20,
5:30 am EST on Saturday 15 April 2023,Sunday 16 April,11,18,0 to 8 mm     Chance of any rain
5:30 am EST on Saturday 15 April 2023,Monday 17 April,6,19,
5:30 am EST on Saturday 15 April 2023,Tuesday 18 April,7,20,
5:30 am EST on Saturday 15 April 2023,Wednesday 19 April,9,19,
5:30 am EST on Saturday 15 April 2023,Thursday 20 April,7,19,
5:30 am EST on Saturday 15 April 2023,Friday 21 April,7,21,
4:30 pm EST on Saturday 15 April 2023,the rest of Saturday 15 April,,,
4:30 pm EST on Saturday 15 April 2023,Sunday 16 April,10,18,0 to 7 mm     Chance of any rain
4:30 pm EST on Saturday 15 April 2023,Monday 17 April,5,19,
4:30 pm EST on Saturday 15 April 2023,Tuesday 18 April,7,20,
4:30 pm EST on Saturday 15 April 2023,Wednesday 19 April,8,18,
4:30 pm EST on Saturday 15 April 2023,Thursday 20 April,4,18,
4:30 pm EST on Saturday 15 April 2023,Friday 21 April,8,18,
4:30 pm EST on Saturday 15 April 2023,Saturday 22 April,7,21,
5:30 am EST on Sunday 16 April 2023,the rest of Sunday 16 April,,18,
5:30 am EST on Sunday 16 April 2023,Monday 17 April,5,19,
5:30 am EST on Sunday 16 April 2023,Tuesday 18 April,7,20,
5:30 am EST on Sunday 16 April 2023,Wednesday 19 April,8,18,
5:30 am EST on Sunday 16 April 2023,Thursday 20 April,4,18,
5:30 am EST on Sunday 16 April 2023,Friday 21 April,8,18,
5:30 am EST on Sunday 16 April 2023,Saturday 22 April,7,21,
4:30 pm EST on Sunday 16 April 2023,the rest of Sunday 16 April,,,
4:30 pm EST on Sunday 16 April 2023,Monday 17 April,6,19,
4:30 pm EST on Sunday 16 April 2023,Tuesday 18 April,8,21,
4:30 pm EST on Sunday 16 April 2023,Wednesday 19 April,9,18,
4:30 pm EST on Sunday 16 April 2023,Thursday 20 April,5,18,
4:30 pm EST on Sunday 16 April 2023,Friday 21 April,8,20,
4:30 pm EST on Sunday 16 April 2023,Saturday 22 April,8,21,
4:30 pm EST on Sunday 16 April 2023,Sunday 23 April,9,22,
5:30 am EST on Monday 17 April 2023,the rest of Monday 17 April,,19,
5:30 am EST on Monday 17 April 2023,Tuesday 18 April,8,21,
5:30 am EST on Monday 17 April 2023,Wednesday 19 April,9,18,
5:30 am EST on Monday 17 April 2023,Thursday 20 April,5,18,
5:30 am EST on Monday 17 April 2023,Friday 21 April,8,20,
5:30 am EST on Monday 17 April 2023,Saturday 22 April,8,21,
5:30 am EST on Monday 17 April 2023,Sunday 23 April,9,22,
4:30 pm EST on Monday 17 April 2023,the rest of Monday 17 April,,,
4:30 pm EST on Monday 17 April 2023,Tuesday 18 April,8,21,
4:30 pm EST on Monday 17 April 2023,Wednesday 19 April,10,19,
4:30 pm EST on Monday 17 April 2023,Thursday 20 April,7,19,
4:30 pm EST on Monday 17 April 2023,Friday 21 April,8,21,
4:30 pm EST on Monday 17 April 2023,Saturday 22 April,8,22,
4:30 pm EST on Monday 17 April 2023,Sunday 23 April,9,22,
4:30 pm EST on Monday 17 April 2023,Monday 24 April,9,24,
5:30 am EST on Tuesday 18 April 2023,the rest of Tuesday 18 April,,21,
5:30 am EST on Tuesday 18 April 2023,Wednesday 19 April,10,19,
5:30 am EST on Tuesday 18 April 2023,Thursday 20 April,7,19,
5:30 am EST on Tuesday 18 April 2023,Friday 21 April,8,21,
5:30 am EST on Tuesday 18 April 2023,Saturday 22 April,8,22,
5:30 am EST on Tuesday 18 April 2023,Sunday 23 April,9,22,
5:30 am EST on Tuesday 18 April 2023,Monday 24 April,9,24,
4:30 pm EST on Tuesday 18 April 2023,the rest of Tuesday 18 April,,,
4:30 pm EST on Tuesday 18 April 2023,Wednesday 19 April,10,19,
4:30 pm EST on Tuesday 18 April 2023,Thursday 20 April,7,20,
4:30 pm EST on Tuesday 18 April 2023,Friday 21 April,8,22,
4:30 pm EST on Tuesday 18 April 2023,Saturday 22 April,9,22,
4:30 pm EST on Tuesday 18 April 2023,Sunday 23 April,9,23,
4:30 pm EST on Tuesday 18 April 2023,Monday 24 April,9,24,
4:30 pm EST on Tuesday 18 April 2023,Tuesday 25 April,13,25,0 to 1 mm     Chance of any rain
5:30 am EST on Wednesday 19 April 2023,the rest of Wednesday 19 April,,19,
5:30 am EST on Wednesday 19 April 2023,Thursday 20 April,7,20,
5:30 am EST on Wednesday 19 April 2023,Friday 21 April,8,22,
5:30 am EST on Wednesday 19 April 2023,Saturday 22 April,9,22,
5:30 am EST on Wednesday 19 April 2023,Sunday 23 April,9,23,
5:30 am EST on Wednesday 19 April 2023,Monday 24 April,9,24,
5:30 am EST on Wednesday 19 April 2023,Tuesday 25 April,13,25,0 to 1 mm     Chance of any rain
4:30 pm EST on Wednesday 19 April 2023,the rest of Wednesday 19 April,,,
4:30 pm EST on Wednesday 19 April 2023,Thursday 20 April,6,20,
4:30 pm EST on Wednesday 19 April 2023,Friday 21 April,8,22,
4:30 pm EST on Wednesday 19 April 2023,Saturday 22 April,9,23,
4:30 pm EST on Wednesday 19 April 2023,Sunday 23 April,10,23,
4:30 pm EST on Wednesday 19 April 2023,Monday 24 April,9,25,
4:30 pm EST on Wednesday 19 April 2023,Tuesday 25 April,14,24,
4:30 pm EST on Wednesday 19 April 2023,Wednesday 26 April,15,22,0 to 6 mm     Chance of any rain
5:30 am EST on Thursday 20 April 2023,the rest of Thursday 20 April,,20,
5:30 am EST on Thursday 20 April 2023,Friday 21 April,8,22,
5:30 am EST on Thursday 20 April 2023,Saturday 22 April,9,23,
5:30 am EST on Thursday 20 April 2023,Sunday 23 April,10,23,
5:30 am EST on Thursday 20 April 2023,Monday 24 April,9,25,
5:30 am EST on Thursday 20 April 2023,Tuesday 25 April,14,24,
5:30 am EST on Thursday 20 April 2023,Wednesday 26 April,15,22,0 to 6 mm     Chance of any rain
4:30 pm EST on Thursday 20 April 2023,the rest of Thursday 20 April,,,
4:30 pm EST on Thursday 20 April 2023,Friday 21 April,7,22,
4:30 pm EST on Thursday 20 April 2023,Saturday 22 April,9,23,
4:30 pm EST on Thursday 20 April 2023,Sunday 23 April,10,23,
4:30 pm EST on Thursday 20 April 2023,Monday 24 April,10,25,
4:30 pm EST on Thursday 20 April 2023,Tuesday 25 April,12,25,
4:30 pm EST on Thursday 20 April 2023,Wednesday 26 April,13,23,0 to 1 mm     Chance of any rain
4:30 pm EST on Thursday 20 April 2023,Thursday 27 April,15,24,0 to 15 mm    Chance of any rain
5:30 am EST on Friday 21 April 2023,the rest of Friday 21 April,,22,
5:30 am EST on Friday 21 April 2023,Saturday 22 April,9,23,
5:30 am EST on Friday 21 April 2023,Sunday 23 April,10,23,
5:30 am EST on Friday 21 April 2023,Monday 24 April,10,25,
5:30 am EST on Friday 21 April 2023,Tuesday 25 April,12,25,
5:30 am EST on Friday 21 April 2023,Wednesday 26 April,13,23,0 to 1 mm     Chance of any rain
5:30 am EST on Friday 21 April 2023,Thursday 27 April,15,24,0 to 15 mm    Chance of any rain
4:30 pm EST on Friday 21 April 2023,the rest of Friday 21 April,,,
4:30 pm EST on Friday 21 April 2023,Saturday 22 April,8,23,
4:30 pm EST on Friday 21 April 2023,Sunday 23 April,9,23,
4:30 pm EST on Friday 21 April 2023,Monday 24 April,10,25,
4:30 pm EST on Friday 21 April 2023,Tuesday 25 April,11,25,
4:30 pm EST on Friday 21 April 2023,Wednesday 26 April,11,24,
4:30 pm EST on Friday 21 April 2023,Thursday 27 April,15,24,0 to 3 mm     Chance of any rain
4:30 pm EST on Friday 21 April 2023,Friday 28 April,12,21,0 to 1 mm     Chance of any rain
5:30 am EST on Saturday 22 April 2023,the rest of Saturday 22 April,,23,
5:30 am EST on Saturday 22 April 2023,Sunday 23 April,9,23,
5:30 am EST on Saturday 22 April 2023,Monday 24 April,10,25,
5:30 am EST on Saturday 22 April 2023,Tuesday 25 April,11,25,
5:30 am EST on Saturday 22 April 2023,Wednesday 26 April,11,24,
5:30 am EST on Saturday 22 April 2023,Thursday 27 April,15,24,0 to 3 mm     Chance of any rain
5:30 am EST on Saturday 22 April 2023,Friday 28 April,12,21,0 to 1 mm     Chance of any rain
4:30 pm EST on Saturday 22 April 2023,the rest of Saturday 22 April,,,
4:30 pm EST on Saturday 22 April 2023,Sunday 23 April,9,23,
4:30 pm EST on Saturday 22 April 2023,Monday 24 April,8,25,
4:30 pm EST on Saturday 22 April 2023,Tuesday 25 April,11,25,
4:30 pm EST on Saturday 22 April 2023,Wednesday 26 April,12,25,
4:30 pm EST on Saturday 22 April 2023,Thursday 27 April,14,24,0 to 2 mm     Chance of any rain
4:30 pm EST on Saturday 22 April 2023,Friday 28 April,11,22,0 to 1 mm     Chance of any rain
4:30 pm EST on Saturday 22 April 2023,Saturday 29 April,8,17,0 to 1 mm     Chance of any rain
5:30 am EST on Sunday 23 April 2023,the rest of Sunday 23 April,,23,
5:30 am EST on Sunday 23 April 2023,Monday 24 April,8,25,
5:30 am EST on Sunday 23 April 2023,Tuesday 25 April,11,25,
5:30 am EST on Sunday 23 April 2023,Wednesday 26 April,12,25,
5:30 am EST on Sunday 23 April 2023,Thursday 27 April,14,24,0 to 2 mm     Chance of any rain
5:30 am EST on Sunday 23 April 2023,Friday 28 April,11,22,0 to 1 mm     Chance of any rain
5:30 am EST on Sunday 23 April 2023,Saturday 29 April,8,17,0 to 1 mm     Chance of any rain
4:30 pm EST on Sunday 23 April 2023,the rest of Sunday 23 April,,,
4:30 pm EST on Sunday 23 April 2023,Monday 24 April,8,25,
4:30 pm EST on Sunday 23 April 2023,Tuesday 25 April,9,26,
4:30 pm EST on Sunday 23 April 2023,Wednesday 26 April,11,25,
4:30 pm EST on Sunday 23 April 2023,Thursday 27 April,17,27,0 to 1 mm     Chance of any rain
4:30 pm EST on Sunday 23 April 2023,Friday 28 April,12,23,0 to 1 mm     Chance of any rain
4:30 pm EST on Sunday 23 April 2023,Saturday 29 April,9,17,
4:30 pm EST on Sunday 23 April 2023,Sunday 30 April,6,18,
5:30 am EST on Monday 24 April 2023,the rest of Monday 24 April,,25,
5:30 am EST on Monday 24 April 2023,Tuesday 25 April,9,26,
5:30 am EST on Monday 24 April 2023,Wednesday 26 April,11,25,
5:30 am EST on Monday 24 April 2023,Thursday 27 April,17,27,0 to 1 mm     Chance of any rain
5:30 am EST on Monday 24 April 2023,Friday 28 April,12,23,0 to 1 mm     Chance of any rain
5:30 am EST on Monday 24 April 2023,Saturday 29 April,9,17,
5:30 am EST on Monday 24 April 2023,Sunday 30 April,6,18,
4:30 pm EST on Monday 24 April 2023,the rest of Monday 24 April,,,
4:30 pm EST on Monday 24 April 2023,Tuesday 25 April,9,25,
4:30 pm EST on Monday 24 April 2023,Wednesday 26 April,10,25,
4:30 pm EST on Monday 24 April 2023,Thursday 27 April,16,26,0 to 1 mm     Chance of any rain
4:30 pm EST on Monday 24 April 2023,Friday 28 April,15,24,0 to 1 mm     Chance of any rain
4:30 pm EST on Monday 24 April 2023,Saturday 29 April,9,18,0 to 1 mm     Chance of any rain
4:30 pm EST on Monday 24 April 2023,Sunday 30 April,7,17,
4:30 pm EST on Monday 24 April 2023,Monday 1 May,7,19,
11:43 pm EST on Monday 24 April 2023,Tuesday 25 April,9,25,
11:43 pm EST on Monday 24 April 2023,Wednesday 26 April,10,25,
11:43 pm EST on Monday 24 April 2023,Thursday 27 April,16,26,0 to 1 mm     Chance of any rain
11:43 pm EST on Monday 24 April 2023,Friday 28 April,15,24,0 to 1 mm     Chance of any rain
11:43 pm EST on Monday 24 April 2023,Saturday 29 April,9,18,0 to 1 mm     Chance of any rain
11:43 pm EST on Monday 24 April 2023,Sunday 30 April,7,17,
11:43 pm EST on Monday 24 April 2023,Monday 1 May,7,19,
11:50 pm EST on Monday 24 April 2023,Tuesday 25 April,9,25,
11:50 pm EST on Monday 24 April 2023,Wednesday 26 April,10,25,
11:50 pm EST on Monday 24 April 2023,Thursday 27 April,16,26,0 to 1 mm     Chance of any rain
11:50 pm EST on Monday 24 April 2023,Friday 28 April,15,24,0 to 1 mm     Chance of any rain
11:50 pm EST on Monday 24 April 2023,Saturday 29 April,9,18,0 to 1 mm     Chance of any rain
11:50 pm EST on Monday 24 April 2023,Sunday 30 April,7,17,
11:50 pm EST on Monday 24 April 2023,Monday 1 May,7,19,
11:57 pm EST on Monday 24 April 2023,Tuesday 25 April,9,25,
11:57 pm EST on Monday 24 April 2023,Wednesday 26 April,10,25,
11:57 pm EST on Monday 24 April 2023,Thursday 27 April,16,26,0 to 1 mm     Chance of any rain
11:57 pm EST on Monday 24 April 2023,Friday 28 April,15,24,0 to 1 mm     Chance of any rain
11:57 pm EST on Monday 24 April 2023,Saturday 29 April,9,18,0 to 1 mm     Chance of any rain
11:57 pm EST on Monday 24 April 2023,Sunday 30 April,7,17,
11:57 pm EST on Monday 24 April 2023,Monday 1 May,7,19,
5:30 am EST on Tuesday 25 April 2023,the rest of Tuesday 25 April,,25,
5:30 am EST on Tuesday 25 April 2023,Wednesday 26 April,10,25,
5:30 am EST on Tuesday 25 April 2023,Thursday 27 April,16,26,0 to 1 mm     Chance of any rain
5:30 am EST on Tuesday 25 April 2023,Friday 28 April,15,24,0 to 1 mm     Chance of any rain
5:30 am EST on Tuesday 25 April 2023,Saturday 29 April,9,18,0 to 1 mm     Chance of any rain
5:30 am EST on Tuesday 25 April 2023,Sunday 30 April,7,17,
5:30 am EST on Tuesday 25 April 2023,Monday 1 May,7,19,
4:30 pm EST on Tuesday 25 April 2023,the rest of Tuesday 25 April,,,
4:30 pm EST on Tuesday 25 April 2023,Wednesday 26 April,9,25,
4:30 pm EST on Tuesday 25 April 2023,Thursday 27 April,15,26,0 to 1 mm     Chance of any rain
4:30 pm EST on Tuesday 25 April 2023,Friday 28 April,16,23,0 to 2 mm     Chance of any rain
4:30 pm EST on Tuesday 25 April 2023,Saturday 29 April,9,18,0 mm          Chance of any rain
4:30 pm EST on Tuesday 25 April 2023,Sunday 30 April,6,19,
4:30 pm EST on Tuesday 25 April 2023,Monday 1 May,7,21,
4:30 pm EST on Tuesday 25 April 2023,Tuesday 2 May,9,20,0 to 1 mm     Chance of any rain
5:30 am EST on Wednesday 26 April 2023,the rest of Wednesday 26 April,,25,
5:30 am EST on Wednesday 26 April 2023,Thursday 27 April,15,26,0 to 1 mm     Chance of any rain
5:30 am EST on Wednesday 26 April 2023,Friday 28 April,16,23,0 to 2 mm     Chance of any rain
5:30 am EST on Wednesday 26 April 2023,Saturday 29 April,9,18,0 mm          Chance of any rain
5:30 am EST on Wednesday 26 April 2023,Sunday 30 April,6,19,
5:30 am EST on Wednesday 26 April 2023,Monday 1 May,7,21,
5:30 am EST on Wednesday 26 April 2023,Tuesday 2 May,9,20,0 to 1 mm     Chance of any rain
4:30 pm EST on Wednesday 26 April 2023,the rest of Wednesday 26 April,,,
4:30 pm EST on Wednesday 26 April 2023,Thursday 27 April,15,26,0 to 1 mm     Chance of any rain
4:30 pm EST on Wednesday 26 April 2023,Friday 28 April,15,23,0 to 1 mm     Chance of any rain
4:30 pm EST on Wednesday 26 April 2023,Saturday 29 April,9,19,
4:30 pm EST on Wednesday 26 April 2023,Sunday 30 April,7,19,
4:30 pm EST on Wednesday 26 April 2023,Monday 1 May,7,19,
4:30 pm EST on Wednesday 26 April 2023,Tuesday 2 May,7,20,0 to 1 mm     Chance of any rain
4:30 pm EST on Wednesday 26 April 2023,Wednesday 3 May,9,18,0 to 1 mm     Chance of any rain
5:30 am EST on Thursday 27 April 2023,the rest of Thursday 27 April,,26,
5:30 am EST on Thursday 27 April 2023,Friday 28 April,15,23,0 to 1 mm     Chance of any rain
5:30 am EST on Thursday 27 April 2023,Saturday 29 April,9,19,
5:30 am EST on Thursday 27 April 2023,Sunday 30 April,7,19,
5:30 am EST on Thursday 27 April 2023,Monday 1 May,7,19,
5:30 am EST on Thursday 27 April 2023,Tuesday 2 May,7,20,0 to 1 mm     Chance of any rain
5:30 am EST on Thursday 27 April 2023,Wednesday 3 May,9,18,0 to 1 mm     Chance of any rain
4:30 pm EST on Thursday 27 April 2023,the rest of Thursday 27 April,,,
4:30 pm EST on Thursday 27 April 2023,Friday 28 April,15,23,0 to 1 mm     Chance of any rain
4:30 pm EST on Thursday 27 April 2023,Saturday 29 April,7,18,
4:30 pm EST on Thursday 27 April 2023,Sunday 30 April,5,19,
4:30 pm EST on Thursday 27 April 2023,Monday 1 May,5,21,
4:30 pm EST on Thursday 27 April 2023,Tuesday 2 May,6,21,0 to 1 mm     Chance of any rain
4:30 pm EST on Thursday 27 April 2023,Wednesday 3 May,10,17,0 to 4 mm     Chance of any rain
4:30 pm EST on Thursday 27 April 2023,Thursday 4 May,5,17,
10:48 pm EST on Thursday 27 April 2023,the rest of Thursday 27 April,,,
10:48 pm EST on Thursday 27 April 2023,Friday 28 April,15,23,0 to 1 mm     Chance of any rain
10:48 pm EST on Thursday 27 April 2023,Saturday 29 April,7,18,
10:48 pm EST on Thursday 27 April 2023,Sunday 30 April,5,19,
10:48 pm EST on Thursday 27 April 2023,Monday 1 May,5,21,
10:48 pm EST on Thursday 27 April 2023,Tuesday 2 May,6,21,0 to 1 mm     Chance of any rain
10:48 pm EST on Thursday 27 April 2023,Wednesday 3 May,10,17,0 to 4 mm     Chance of any rain
10:48 pm EST on Thursday 27 April 2023,Thursday 4 May,5,17,
5:30 am EST on Friday 28 April 2023,the rest of Friday 28 April,,23,
5:30 am EST on Friday 28 April 2023,Saturday 29 April,7,18,
5:30 am EST on Friday 28 April 2023,Sunday 30 April,5,19,
5:30 am EST on Friday 28 April 2023,Monday 1 May,5,21,
5:30 am EST on Friday 28 April 2023,Tuesday 2 May,6,21,0 to 1 mm     Chance of any rain
5:30 am EST on Friday 28 April 2023,Wednesday 3 May,10,17,0 to 4 mm     Chance of any rain
5:30 am EST on Friday 28 April 2023,Thursday 4 May,5,17,
4:30 pm EST on Friday 28 April 2023,the rest of Friday 28 April,,,
4:30 pm EST on Friday 28 April 2023,Saturday 29 April,8,18,
4:30 pm EST on Friday 28 April 2023,Sunday 30 April,5,19,
4:30 pm EST on Friday 28 April 2023,Monday 1 May,6,21,
4:30 pm EST on Friday 28 April 2023,Tuesday 2 May,8,21,0 to 1 mm     Chance of any rain
4:30 pm EST on Friday 28 April 2023,Wednesday 3 May,9,18,0 to 1 mm     Chance of any rain
4:30 pm EST on Friday 28 April 2023,Thursday 4 May,5,18,
4:30 pm EST on Friday 28 April 2023,Friday 5 May,7,19,
5:30 am EST on Saturday 29 April 2023,the rest of Saturday 29 April,,18,
5:30 am EST on Saturday 29 April 2023,Sunday 30 April,5,19,
5:30 am EST on Saturday 29 April 2023,Monday 1 May,6,21,
5:30 am EST on Saturday 29 April 2023,Tuesday 2 May,8,21,0 to 1 mm     Chance of any rain
5:30 am EST on Saturday 29 April 2023,Wednesday 3 May,9,18,0 to 1 mm     Chance of any rain
5:30 am EST on Saturday 29 April 2023,Thursday 4 May,5,18,
5:30 am EST on Saturday 29 April 2023,Friday 5 May,7,19,
4:30 pm EST on Saturday 29 April 2023,the rest of Saturday 29 April,,,
4:30 pm EST on Saturday 29 April 2023,Sunday 30 April,3,19,
4:30 pm EST on Saturday 29 April 2023,Monday 1 May,7,21,
4:30 pm EST on Saturday 29 April 2023,Tuesday 2 May,9,20,0 to 1 mm     Chance of any rain
4:30 pm EST on Saturday 29 April 2023,Wednesday 3 May,9,19,0 to 2 mm     Chance of any rain
4:30 pm EST on Saturday 29 April 2023,Thursday 4 May,5,19,
4:30 pm EST on Saturday 29 April 2023,Friday 5 May,9,20,0 to 1 mm     Chance of any rain
4:30 pm EST on Saturday 29 April 2023,Saturday 6 May,8,17,0 to 1 mm     Chance of any rain
5:30 am EST on Sunday 30 April 2023,the rest of Sunday 30 April,,19,
5:30 am EST on Sunday 30 April 2023,Monday 1 May,7,21,
5:30 am EST on Sunday 30 April 2023,Tuesday 2 May,9,20,0 to 1 mm     Chance of any rain
5:30 am EST on Sunday 30 April 2023,Wednesday 3 May,9,19,0 to 2 mm     Chance of any rain
5:30 am EST on Sunday 30 April 2023,Thursday 4 May,5,19,
5:30 am EST on Sunday 30 April 2023,Friday 5 May,9,20,0 to 1 mm     Chance of any rain
5:30 am EST on Sunday 30 April 2023,Saturday 6 May,8,17,0 to 1 mm     Chance of any rain
4:30 pm EST on Sunday 30 April 2023,the rest of Sunday 30 April,,,
4:30 pm EST on Sunday 30 April 2023,Monday 1 May,7,20,
4:30 pm EST on Sunday 30 April 2023,Tuesday 2 May,10,21,0 to 1 mm     Chance of any rain
4:30 pm EST on Sunday 30 April 2023,Wednesday 3 May,10,18,0 to 1 mm     Chance of any rain
4:30 pm EST on Sunday 30 April 2023,Thursday 4 May,5,18,
4:30 pm EST on Sunday 30 April 2023,Friday 5 May,5,19,
4:30 pm EST on Sunday 30 April 2023,Saturday 6 May,8,15,0 to 2 mm     Chance of any rain
4:30 pm EST on Sunday 30 April 2023,Sunday 7 May,3,16,
5:30 am EST on Monday 1 May 2023,the rest of Monday 1 May,,20,
5:30 am EST on Monday 1 May 2023,Tuesday 2 May,10,21,0 to 1 mm     Chance of any rain
5:30 am EST on Monday 1 May 2023,Wednesday 3 May,10,18,0 to 1 mm     Chance of any rain
5:30 am EST on Monday 1 May 2023,Thursday 4 May,5,18,
5:30 am EST on Monday 1 May 2023,Friday 5 May,5,19,
5:30 am EST on Monday 1 May 2023,Saturday 6 May,8,15,0 to 2 mm     Chance of any rain
5:30 am EST on Monday 1 May 2023,Sunday 7 May,3,16,
8:24 am EST on Monday 1 May 2023,the rest of Monday 1 May,,17,
8:24 am EST on Monday 1 May 2023,Tuesday 2 May,10,21,0 to 1 mm     Chance of any rain
8:24 am EST on Monday 1 May 2023,Wednesday 3 May,10,18,0 to 1 mm     Chance of any rain
8:24 am EST on Monday 1 May 2023,Thursday 4 May,5,18,
8:24 am EST on Monday 1 May 2023,Friday 5 May,5,19,
8:24 am EST on Monday 1 May 2023,Saturday 6 May,8,15,0 to 2 mm     Chance of any rain
8:24 am EST on Monday 1 May 2023,Sunday 7 May,3,16,
4:30 pm EST on Monday 1 May 2023,the rest of Monday 1 May,,,
4:30 pm EST on Monday 1 May 2023,Tuesday 2 May,9,20,0 to 1 mm     Chance of any rain
4:30 pm EST on Monday 1 May 2023,Wednesday 3 May,10,18,0 to 1 mm     Chance of any rain
4:30 pm EST on Monday 1 May 2023,Thursday 4 May,3,18,
4:30 pm EST on Monday 1 May 2023,Friday 5 May,3,19,0 to 1 mm     Chance of any rain
4:30 pm EST on Monday 1 May 2023,Saturday 6 May,8,16,0 to 2 mm     Chance of any rain
4:30 pm EST on Monday 1 May 2023,Sunday 7 May,3,16,
4:30 pm EST on Monday 1 May 2023,Monday 8 May,3,16,
5:30 am EST on Tuesday 2 May 2023,the rest of Tuesday 2 May,,20,
5:30 am EST on Tuesday 2 May 2023,Wednesday 3 May,10,18,0 to 1 mm     Chance of any rain
5:30 am EST on Tuesday 2 May 2023,Thursday 4 May,3,18,
5:30 am EST on Tuesday 2 May 2023,Friday 5 May,3,19,0 to 1 mm     Chance of any rain
5:30 am EST on Tuesday 2 May 2023,Saturday 6 May,8,16,0 to 2 mm     Chance of any rain
5:30 am EST on Tuesday 2 May 2023,Sunday 7 May,3,16,
5:30 am EST on Tuesday 2 May 2023,Monday 8 May,3,16,
4:30 pm EST on Tuesday 2 May 2023,the rest of Tuesday 2 May,,,
4:30 pm EST on Tuesday 2 May 2023,Wednesday 3 May,10,18,0 to 1 mm     Chance of any rain
4:30 pm EST on Tuesday 2 May 2023,Thursday 4 May,5,18,
4:30 pm EST on Tuesday 2 May 2023,Friday 5 May,4,19,
4:30 pm EST on Tuesday 2 May 2023,Saturday 6 May,8,15,0 to 2 mm     Chance of any rain
4:30 pm EST on Tuesday 2 May 2023,Sunday 7 May,2,15,
4:30 pm EST on Tuesday 2 May 2023,Monday 8 May,3,16,
4:30 pm EST on Tuesday 2 May 2023,Tuesday 9 May,6,17,
5:30 am EST on Wednesday 3 May 2023,the rest of Wednesday 3 May,,18,
5:30 am EST on Wednesday 3 May 2023,Thursday 4 May,5,18,
5:30 am EST on Wednesday 3 May 2023,Friday 5 May,4,19,
5:30 am EST on Wednesday 3 May 2023,Saturday 6 May,8,15,0 to 2 mm     Chance of any rain
5:30 am EST on Wednesday 3 May 2023,Sunday 7 May,2,15,
5:30 am EST on Wednesday 3 May 2023,Monday 8 May,3,16,
5:30 am EST on Wednesday 3 May 2023,Tuesday 9 May,6,17,
4:30 pm EST on Wednesday 3 May 2023,the rest of Wednesday 3 May,,,
4:30 pm EST on Wednesday 3 May 2023,Thursday 4 May,4,17,
4:30 pm EST on Wednesday 3 May 2023,Friday 5 May,5,19,0 to 1 mm     Chance of any rain
4:30 pm EST on Wednesday 3 May 2023,Saturday 6 May,8,15,0 to 3 mm     Chance of any rain
4:30 pm EST on Wednesday 3 May 2023,Sunday 7 May,2,15,
4:30 pm EST on Wednesday 3 May 2023,Monday 8 May,3,16,
4:30 pm EST on Wednesday 3 May 2023,Tuesday 9 May,6,18,
4:30 pm EST on Wednesday 3 May 2023,Wednesday 10 May,5,20,
5:30 am EST on Thursday 4 May 2023,the rest of Thursday 4 May,,17,
5:30 am EST on Thursday 4 May 2023,Friday 5 May,5,19,0 to 1 mm     Chance of any rain
5:30 am EST on Thursday 4 May 2023,Saturday 6 May,8,15,0 to 3 mm     Chance of any rain
5:30 am EST on Thursday 4 May 2023,Sunday 7 May,2,15,
5:30 am EST on Thursday 4 May 2023,Monday 8 May,3,16,
5:30 am EST on Thursday 4 May 2023,Tuesday 9 May,6,18,
