Issued At,Date,Min Temperature (C),Max Temperature (C),Possible Rainfall (mm)
4:30 pm EDT on Thursday 5 January 2023,Monday 9 January,17,39,
4:30 pm EDT on Thursday 5 January 2023,Tuesday 10 January,14,32,
4:30 pm EDT on Thursday 5 January 2023,Wednesday 11 January,13,34,
4:30 pm EDT on Thursday 5 January 2023,Thursday 12 January,17,37,
5:30 am EDT on Friday 6 January 2023,the rest of Friday 6 January,,29,
5:30 am EDT on Friday 6 January 2023,Saturday 7 January,15,32,
5:30 am EDT on Friday 6 January 2023,Sunday 8 January,15,35,
5:30 am EDT on Friday 6 January 2023,Monday 9 January,17,39,
5:30 am EDT on Friday 6 January 2023,Tuesday 10 January,14,32,
5:30 am EDT on Friday 6 January 2023,Wednesday 11 January,13,34,
5:30 am EDT on Friday 6 January 2023,Thursday 12 January,17,37,
4:30 pm EDT on Friday 6 January 2023,the rest of Friday 6 January,,,
4:30 pm EDT on Friday 6 January 2023,Saturday 7 January,14,32,
4:30 pm EDT on Friday 6 January 2023,Sunday 8 January,15,35,
4:30 pm EDT on Friday 6 January 2023,Monday 9 January,17,38,
4:30 pm EDT on Friday 6 January 2023,Tuesday 10 January,15,34,
4:30 pm EDT on Friday 6 January 2023,Wednesday 11 January,14,36,
4:30 pm EDT on Friday 6 January 2023,Thursday 12 January,18,38,
4:30 pm EDT on Friday 6 January 2023,Friday 13 January,19,38,
5:30 am EDT on Saturday 7 January 2023,the rest of Saturday 7 January,,32,
5:30 am EDT on Saturday 7 January 2023,Sunday 8 January,15,35,
5:30 am EDT on Saturday 7 January 2023,Monday 9 January,17,38,
5:30 am EDT on Saturday 7 January 2023,Tuesday 10 January,15,34,
5:30 am EDT on Saturday 7 January 2023,Wednesday 11 January,14,36,
5:30 am EDT on Saturday 7 January 2023,Thursday 12 January,18,38,
5:30 am EDT on Saturday 7 January 2023,Friday 13 January,19,38,
4:30 pm EDT on Saturday 7 January 2023,the rest of Saturday 7 January,,,
4:30 pm EDT on Saturday 7 January 2023,Sunday 8 January,15,35,
4:30 pm EDT on Saturday 7 January 2023,Monday 9 January,17,39,
4:30 pm EDT on Saturday 7 January 2023,Tuesday 10 January,14,34,
4:30 pm EDT on Saturday 7 January 2023,Wednesday 11 January,14,36,
4:30 pm EDT on Saturday 7 January 2023,Thursday 12 January,17,38,
4:30 pm EDT on Saturday 7 January 2023,Friday 13 January,18,39,
4:30 pm EDT on Saturday 7 January 2023,Saturday 14 January,19,39,
5:30 am EDT on Sunday 8 January 2023,the rest of Sunday 8 January,,35,
5:30 am EDT on Sunday 8 January 2023,Monday 9 January,17,39,
5:30 am EDT on Sunday 8 January 2023,Tuesday 10 January,14,34,
5:30 am EDT on Sunday 8 January 2023,Wednesday 11 January,14,36,
5:30 am EDT on Sunday 8 January 2023,Thursday 12 January,17,38,
5:30 am EDT on Sunday 8 January 2023,Friday 13 January,18,39,
5:30 am EDT on Sunday 8 January 2023,Saturday 14 January,19,39,
4:30 pm EDT on Sunday 8 January 2023,the rest of Sunday 8 January,,,
4:30 pm EDT on Sunday 8 January 2023,Monday 9 January,17,39,
4:30 pm EDT on Sunday 8 January 2023,Tuesday 10 January,15,35,
4:30 pm EDT on Sunday 8 January 2023,Wednesday 11 January,14,37,
4:30 pm EDT on Sunday 8 January 2023,Thursday 12 January,17,39,
4:30 pm EDT on Sunday 8 January 2023,Friday 13 January,19,40,
4:30 pm EDT on Sunday 8 January 2023,Saturday 14 January,21,41,
4:30 pm EDT on Sunday 8 January 2023,Sunday 15 January,22,37,
5:30 am EDT on Monday 9 January 2023,the rest of Monday 9 January,,39,
5:30 am EDT on Monday 9 January 2023,Tuesday 10 January,15,35,
5:30 am EDT on Monday 9 January 2023,Wednesday 11 January,14,37,
5:30 am EDT on Monday 9 January 2023,Thursday 12 January,17,39,
5:30 am EDT on Monday 9 January 2023,Friday 13 January,19,40,
5:30 am EDT on Monday 9 January 2023,Saturday 14 January,21,41,
5:30 am EDT on Monday 9 January 2023,Sunday 15 January,22,37,
4:30 pm EDT on Monday 9 January 2023,the rest of Monday 9 January,,,
4:30 pm EDT on Monday 9 January 2023,Tuesday 10 January,15,36,
4:30 pm EDT on Monday 9 January 2023,Wednesday 11 January,15,38,
4:30 pm EDT on Monday 9 January 2023,Thursday 12 January,18,39,
4:30 pm EDT on Monday 9 January 2023,Friday 13 January,18,40,
4:30 pm EDT on Monday 9 January 2023,Saturday 14 January,20,40,
4:30 pm EDT on Monday 9 January 2023,Sunday 15 January,21,36,
4:30 pm EDT on Monday 9 January 2023,Monday 16 January,18,37,0 to 0.4 mm   Chance of any rain
5:30 am EDT on Tuesday 10 January 2023,the rest of Tuesday 10 January,,36,
5:30 am EDT on Tuesday 10 January 2023,Wednesday 11 January,15,38,
5:30 am EDT on Tuesday 10 January 2023,Thursday 12 January,18,39,
5:30 am EDT on Tuesday 10 January 2023,Friday 13 January,18,40,
5:30 am EDT on Tuesday 10 January 2023,Saturday 14 January,20,40,
5:30 am EDT on Tuesday 10 January 2023,Sunday 15 January,21,36,
5:30 am EDT on Tuesday 10 January 2023,Monday 16 January,18,37,0 to 0.4 mm   Chance of any rain
4:30 pm EDT on Tuesday 10 January 2023,the rest of Tuesday 10 January,,,
4:30 pm EDT on Tuesday 10 January 2023,Wednesday 11 January,15,37,
4:30 pm EDT on Tuesday 10 January 2023,Thursday 12 January,18,39,
4:30 pm EDT on Tuesday 10 January 2023,Friday 13 January,18,39,
4:30 pm EDT on Tuesday 10 January 2023,Saturday 14 January,20,41,
4:30 pm EDT on Tuesday 10 January 2023,Sunday 15 January,18,32,
4:30 pm EDT on Tuesday 10 January 2023,Monday 16 January,17,35,0 to 2 mm     Chance of any rain
4:30 pm EDT on Tuesday 10 January 2023,Tuesday 17 January,21,35,0 to 1 mm     Chance of any rain
5:30 am EDT on Wednesday 11 January 2023,the rest of Wednesday 11 January,,37,
5:30 am EDT on Wednesday 11 January 2023,Thursday 12 January,18,39,
5:30 am EDT on Wednesday 11 January 2023,Friday 13 January,18,39,
5:30 am EDT on Wednesday 11 January 2023,Saturday 14 January,20,41,
5:30 am EDT on Wednesday 11 January 2023,Sunday 15 January,18,32,
5:30 am EDT on Wednesday 11 January 2023,Monday 16 January,17,35,0 to 2 mm     Chance of any rain
5:30 am EDT on Wednesday 11 January 2023,Tuesday 17 January,21,35,0 to 1 mm     Chance of any rain
4:30 pm EDT on Wednesday 11 January 2023,the rest of Wednesday 11 January,,,
4:30 pm EDT on Wednesday 11 January 2023,Thursday 12 January,17,39,
4:30 pm EDT on Wednesday 11 January 2023,Friday 13 January,17,39,
4:30 pm EDT on Wednesday 11 January 2023,Saturday 14 January,19,40,
4:30 pm EDT on Wednesday 11 January 2023,Sunday 15 January,20,32,
4:30 pm EDT on Wednesday 11 January 2023,Monday 16 January,16,34,0 to 0.4 mm   Chance of any rain
4:30 pm EDT on Wednesday 11 January 2023,Tuesday 17 January,21,37,0 to 1 mm     Chance of any rain
4:30 pm EDT on Wednesday 11 January 2023,Wednesday 18 January,20,27,0 to 5 mm     Chance of any rain
5:30 am EDT on Thursday 12 January 2023,the rest of Thursday 12 January,,39,
5:30 am EDT on Thursday 12 January 2023,Friday 13 January,17,39,
5:30 am EDT on Thursday 12 January 2023,Saturday 14 January,19,40,
5:30 am EDT on Thursday 12 January 2023,Sunday 15 January,20,32,
5:30 am EDT on Thursday 12 January 2023,Monday 16 January,16,34,0 to 0.4 mm   Chance of any rain
5:30 am EDT on Thursday 12 January 2023,Tuesday 17 January,21,37,0 to 1 mm     Chance of any rain
5:30 am EDT on Thursday 12 January 2023,Wednesday 18 January,20,27,0 to 5 mm     Chance of any rain
4:30 pm EDT on Thursday 12 January 2023,the rest of Thursday 12 January,,,
4:30 pm EDT on Thursday 12 January 2023,Friday 13 January,17,38,
4:30 pm EDT on Thursday 12 January 2023,Saturday 14 January,18,40,
4:30 pm EDT on Thursday 12 January 2023,Sunday 15 January,20,34,
4:30 pm EDT on Thursday 12 January 2023,Monday 16 January,17,37,
4:30 pm EDT on Thursday 12 January 2023,Tuesday 17 January,22,39,
4:30 pm EDT on Thursday 12 January 2023,Wednesday 18 January,23,33,0 to 4 mm     Chance of any rain
4:30 pm EDT on Thursday 12 January 2023,Thursday 19 January,13,28,
5:30 am EDT on Friday 13 January 2023,the rest of Friday 13 January,,38,
5:30 am EDT on Friday 13 January 2023,Saturday 14 January,18,40,
5:30 am EDT on Friday 13 January 2023,Sunday 15 January,20,34,
5:30 am EDT on Friday 13 January 2023,Monday 16 January,17,37,
5:30 am EDT on Friday 13 January 2023,Tuesday 17 January,22,39,
5:30 am EDT on Friday 13 January 2023,Wednesday 18 January,23,33,0 to 4 mm     Chance of any rain
5:30 am EDT on Friday 13 January 2023,Thursday 19 January,13,28,
4:30 pm EDT on Friday 13 January 2023,the rest of Friday 13 January,,,
4:30 pm EDT on Friday 13 January 2023,Saturday 14 January,18,40,
4:30 pm EDT on Friday 13 January 2023,Sunday 15 January,21,32,
4:30 pm EDT on Friday 13 January 2023,Monday 16 January,14,36,
4:30 pm EDT on Friday 13 January 2023,Tuesday 17 January,20,39,
4:30 pm EDT on Friday 13 January 2023,Wednesday 18 January,20,29,0 to 6 mm     Chance of any rain
4:30 pm EDT on Friday 13 January 2023,Thursday 19 January,12,28,
4:30 pm EDT on Friday 13 January 2023,Friday 20 January,13,31,
5:30 am EDT on Saturday 14 January 2023,the rest of Saturday 14 January,,40,
5:30 am EDT on Saturday 14 January 2023,Sunday 15 January,21,32,
5:30 am EDT on Saturday 14 January 2023,Monday 16 January,14,36,
5:30 am EDT on Saturday 14 January 2023,Tuesday 17 January,20,39,
5:30 am EDT on Saturday 14 January 2023,Wednesday 18 January,20,29,0 to 6 mm     Chance of any rain
5:30 am EDT on Saturday 14 January 2023,Thursday 19 January,12,28,
5:30 am EDT on Saturday 14 January 2023,Friday 20 January,13,31,
4:30 pm EDT on Saturday 14 January 2023,the rest of Saturday 14 January,,,
4:30 pm EDT on Saturday 14 January 2023,Sunday 15 January,21,31,
4:30 pm EDT on Saturday 14 January 2023,Monday 16 January,14,36,
4:30 pm EDT on Saturday 14 January 2023,Tuesday 17 January,21,39,
4:30 pm EDT on Saturday 14 January 2023,Wednesday 18 January,20,26,0 to 6 mm     Chance of any rain
4:30 pm EDT on Saturday 14 January 2023,Thursday 19 January,11,26,
4:30 pm EDT on Saturday 14 January 2023,Friday 20 January,11,30,
4:30 pm EDT on Saturday 14 January 2023,Saturday 21 January,15,32,0 to 2 mm     Chance of any rain
5:30 am EDT on Sunday 15 January 2023,the rest of Sunday 15 January,,31,
5:30 am EDT on Sunday 15 January 2023,Monday 16 January,14,36,
5:30 am EDT on Sunday 15 January 2023,Tuesday 17 January,21,39,
5:30 am EDT on Sunday 15 January 2023,Wednesday 18 January,20,26,0 to 6 mm     Chance of any rain
5:30 am EDT on Sunday 15 January 2023,Thursday 19 January,11,26,
5:30 am EDT on Sunday 15 January 2023,Friday 20 January,11,30,
5:30 am EDT on Sunday 15 January 2023,Saturday 21 January,15,32,0 to 2 mm     Chance of any rain
4:30 pm EDT on Sunday 15 January 2023,the rest of Sunday 15 January,,,
4:30 pm EDT on Sunday 15 January 2023,Monday 16 January,13,34,
4:30 pm EDT on Sunday 15 January 2023,Tuesday 17 January,21,38,
4:30 pm EDT on Sunday 15 January 2023,Wednesday 18 January,21,26,0 to 8 mm     Chance of any rain
4:30 pm EDT on Sunday 15 January 2023,Thursday 19 January,11,25,
4:30 pm EDT on Sunday 15 January 2023,Friday 20 January,11,29,
4:30 pm EDT on Sunday 15 January 2023,Saturday 21 January,14,31,
4:30 pm EDT on Sunday 15 January 2023,Sunday 22 January,15,31,
5:30 am EDT on Monday 16 January 2023,the rest of Monday 16 January,,34,
5:30 am EDT on Monday 16 January 2023,Tuesday 17 January,21,38,
5:30 am EDT on Monday 16 January 2023,Wednesday 18 January,21,26,0 to 8 mm     Chance of any rain
5:30 am EDT on Monday 16 January 2023,Thursday 19 January,11,25,
5:30 am EDT on Monday 16 January 2023,Friday 20 January,11,29,
5:30 am EDT on Monday 16 January 2023,Saturday 21 January,14,31,
5:30 am EDT on Monday 16 January 2023,Sunday 22 January,15,31,
