datetime,TMAX,TMIN,PRCP
20250424,19.14504623413086,9.603302001953125,26.70990562438965
20250425,19.78278350830078,9.482783317565918,29.648584365844727
20250426,18.55707550048828,8.819104194641113,23.92688751220703
20250427,21.1283016204834,8.962499618530273,9.044811248779297
20250428,22.17782974243164,10.873820304870605,67.26415252685547
20250429,20.530424118041992,9.231368064880371,15.964622497558594
20250430,20.875471115112305,9.472405433654785,20.39622688293457
20250501,20.90660285949707,9.343631744384766,13.804244995117188
20250502,21.399765014648438,9.285141944885254,12.712264060974121
20250503,22.1216983795166,9.370518684387207,8.502358436584473
20250504,20.965801239013672,9.285141944885254,11.214622497558594
20250505,20.241037368774414,8.73089599609375,12.391509056091309
20250506,19.760141372680664,8.960848808288574,6.287735939025879
20250507,20.148584365844727,8.86910343170166,8.52122688293457
20250508,20.700942993164062,9.66674518585205,35.92216873168945
20250509,20.700942993164062,9.66674518585205,35.92216873168945
