datetime,TMAX,TMIN,PRCP
20250522,19.0605525970459,11.68541145324707,20.955286026000977
20250523,19.614398956298828,9.238651275634766,9.76544189453125
20250524,20.570444107055664,10.560212135314941,15.464191436767578
20250525,21.033573150634766,11.528950691223145,38.864341735839844
20250526,21.283212661743164,12.137324333190918,63.44221115112305
20250527,21.46949577331543,12.737931251525879,48.43198013305664
20250528,22.56430435180664,12.14770793914795,8.090564727783203
20250529,24.04952621459961,12.512504577636719,5.33232307434082
20250530,25.88211441040039,13.726676940917969,4.844259262084961
20250531,26.720348358154297,14.87711238861084,6.539977073669434
20250601,27.36832046508789,16.027170181274414,14.472527503967285
20250602,28.245433807373047,16.835960388183594,10.300492286682129
20250603,28.888973236083984,17.66942024230957,13.229253768920898
20250604,27.66851043701172,17.111557006835938,14.76506233215332
20250605,27.439029693603516,16.561386108398438,10.05305004119873
20250606,27.439029693603516,16.561386108398438,10.05305004119873
