datetime,TMAX,TMIN,PRCP
20250522,17.835771560668945,9.361788749694824,7.666666507720947
20250523,18.095935821533203,8.55528450012207,19.341463088989258
20250524,18.352031707763672,9.32276439666748,38.67479705810547
20250525,18.990243911743164,10.002439498901367,45.57723617553711
20250526,19.009756088256836,10.164227485656738,71.64227294921875
20250527,19.116260528564453,10.179675102233887,73.0650405883789
20250528,19.44471549987793,10.04878044128418,54.70731735229492
20250529,19.641464233398438,9.741463661193848,25.10569190979004
20250530,20.338211059570312,10.115447044372559,26.84552764892578
20250531,21.198373794555664,10.943902015686035,20.170732498168945
20250601,22.057723999023438,11.825202941894531,12.430893898010254
20250602,22.58211326599121,12.139837265014648,6.894309043884277
20250603,22.613008499145508,12.602438926696777,9.723577499389648
20250604,22.16666603088379,12.467479705810547,9.252032279968262
20250605,22.43008041381836,12.421951293945312,6.601625919342041
20250606,22.43008041381836,12.421951293945312,6.601625919342041
