State,datetime,value
PENNSYLVANIA,2024-05-03,30209900.710461795
PENNSYLVANIA,2024-05-10,30251098.239389066
PENNSYLVANIA,2024-05-17,30203767.80912648
PENNSYLVANIA,2024-05-24,30241200.000000007
PENNSYLVANIA,2024-06-07,30222453.37789431
PENNSYLVANIA,2024-06-14,29731936.89104873
PENNSYLVANIA,2024-06-21,29950053.644118976
PENNSYLVANIA,2024-06-28,29690170.05593116
PENNSYLVANIA,2024-07-05,29691564.18918973
PENNSYLVANIA,2024-07-12,29691564.18918973
PENNSYLVANIA,2024-07-15,29725077.37433233
PENNSYLVANIA,2024-07-19,29523750.55870632
PENNSYLVANIA,2024-07-26,29818357.27456868
PENNSYLVANIA,2024-08-02,29761975.85800258
PENNSYLVANIA,2024-08-09,29355590.77668492
PENNSYLVANIA,2024-08-16,29258741.38719432
PENNSYLVANIA,2024-08-23,29399733.03703576
PENNSYLVANIA,2024-08-30,28619074.42505693
