datetime,TMAX,TMIN,PRCP
20250522,22.716516494750977,13.900090217590332,13.968582153320312
20250523,22.38581657409668,11.765978813171387,5.676840305328369
20250524,23.109424591064453,12.788419723510742,26.172351837158203
20250525,24.3371639251709,14.077917098999023,38.83303451538086
20250526,24.27432632446289,14.767952919006348,76.31328582763672
20250527,23.863643646240234,14.948115348815918,64.85188293457031
20250528,24.340126037597656,14.12441635131836,8.588869094848633
20250529,25.209514617919922,13.863465309143066,4.1113104820251465
20250530,26.62091636657715,14.579353332519531,4.017953395843506
20250531,27.591920852661133,15.80861759185791,10.035009384155273
20250601,28.081777572631836,16.860143661499023,8.57719898223877
20250602,29.1702880859375,17.663644790649414,9.784560203552246
20250603,29.50529670715332,18.21885108947754,10.686714172363281
20250604,29.247127532958984,18.38689422607422,14.87971305847168
20250605,28.61831283569336,17.990036010742188,20.678634643554688
20250606,28.61831283569336,17.990036010742188,20.678634643554688
