5Year Mean TMAX,5Year Mean TMIN,5Year Mean PRCP,5Year Mean TAVG
13.943178162916047,1.9267711793088496,143.18106952313286,7.935173107707081
16.529326025140037,4.12300113560058,152.43613997257293,10.326193913858402
20.4416394137453,6.795997583679936,126.92284531590414,13.618845078233312
23.55759924317655,8.931609951646793,128.6202153616364,16.2456631945549
27.271796486739714,14.44204144996325,88.64037085037505,20.857060912594886
30.168596339869282,18.5475607288572,124.66172453951276,24.358891875618934
32.0279463784951,20.856384766932827,127.92124693274415,26.442283912490684
31.621201127819546,20.68543488529015,149.74025555341345,26.153443319838054
29.090349767835495,17.041257722396544,99.44929854795814,23.066074818978226
24.659128563242575,11.405309948507703,101.45742479812182,18.032089772949895
18.85917417127535,5.266843300294477,73.6011603270368,12.063461036653978
15.332737747727444,2.896052416798137,127.46706068665011,9.114507487040793
