datetime,TMAX,TMIN,PRCP
20250611,27.422321319580078,18.17535972595215,10.720441818237305
20250612,27.759336471557617,17.33547019958496,21.482872009277344
20250613,26.003868103027344,16.909944534301758,33.446407318115234
20250614,25.64983367919922,17.291492462158203,50.06961441040039
20250615,25.46872901916504,16.596242904663086,28.839778900146484
20250616,26.415691375732422,16.516464233398438,20.531492233276367
20250617,27.33624267578125,17.21756935119629,16.697237014770508
20250618,28.345304489135742,18.168176651000977,16.841989517211914
20250619,29.135358810424805,18.405635833740234,20.788949966430664
20250620,30.118122100830078,18.828176498413086,12.546961784362793
20250621,30.269392013549805,19.02486228942871,16.91270637512207
20250622,30.514585494995117,19.510717391967773,18.620994567871094
20250623,30.772153854370117,19.60243034362793,9.837569236755371
20250624,30.51734733581543,19.50905990600586,10.791160583496094
20250625,31.03646469116211,19.312265396118164,11.006629943847656
20250626,31.03646469116211,19.312265396118164,11.006629943847656
