State,AREA1,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
NEW YORK,NY,2025-05-05,13.942856788635254,13.585714340209961,20.399999618530273,20.35714340209961,8.328571319580078,7.485714435577393,37.5,20.94285774230957,19,2024-05-12,20.600604634646263,8.144453717214512,24.427919749530638,14.372529175930389
NEW YORK,NY,2025-05-12,14.800000190734863,14.5,21.700000762939453,21.328571319580078,8.642857551574707,8.385714530944824,16.77142906188965,21.171428680419922,20,2024-05-19,22.871196685323493,10.96386108021258,24.45637634408602,16.917528882768035
NEW YORK,NY,2025-05-19,16.08571434020996,15.942856788635254,22.885713577270508,22.77142906188965,9.899999618530273,9.785714149475098,20.242856979370117,19.542856216430664,21,2024-05-26,27.49263221417599,12.805790084851145,11.156228187403991,20.14921114951357
NEW YORK,NY,2025-05-26,17.928571701049805,17.47142791748047,24.571428298950195,24.128570556640625,11.95714282989502,11.471428871154785,21.77142906188965,22.77142906188965,22,2024-06-02,24.433117452339427,10.729762119335025,22.77076147983356,17.581439785837226
NEW YORK,NY,2025-06-02,19.5,18.385713577270508,26.171428680419922,24.94285774230957,13.471428871154785,12.54285717010498,24.371429443359375,25.757143020629883,23,2024-06-09,26.71498078143011,14.012080071646754,31.406475309205995,20.363530426538432
NEW YORK,NY,2025-06-09,20.814285278320312,19.614286422729492,27.342857360839844,26.071428298950195,14.785714149475098,13.714285850524902,22.399999618530273,24.47142791748047,24,2024-06-16,24.55616221507142,12.0071819768879,10.08827996384872,18.281672095979665
NEW YORK,NY,2025-06-16,21.842857360839844,20.757143020629883,28.22857093811035,27.05714225769043,15.971428871154785,14.914285659790039,23.042856216430664,22.14285659790039,25,2024-06-23,31.231495501426377,18.70377197473972,25.260963287250384,24.967633738083045
NEW YORK,NY,2025-06-23,23.52857208251953,21.742856979370117,29.91428565979004,27.97142791748047,17.657142639160156,16.014286041259766,20.47142791748047,21.85714340209961,26,2024-06-30,27.774699065140823,15.314521444314964,34.52138205612056,21.544610254727896
NEW YORK,NY,2025-06-30,23.671428680419922,22.371429443359375,29.899999618530273,28.514286041259766,17.928571701049805,16.685714721679688,20.44285774230957,21.171428680419922,27,2024-07-07,29.12816820276498,16.9420594537098,13.263596639784948,23.03511382823739
NEW YORK,NY,2025-07-07,23.828571319580078,22.785715103149414,29.97142791748047,28.91428565979004,18.042856216430664,17.100000381469727,22.02857208251953,21.628570556640625,28,2024-07-14,30.15115034488644,19.285093041356948,23.43493281423804,24.71812169312169
NEW YORK,NY,2025-07-14,23.91428565979004,23.128570556640625,29.899999618530273,29.185714721679688,18.485713958740234,17.614286422729492,27.157142639160156,23.899999618530273,29,2024-07-21,29.52268507483329,17.06993679779414,25.260558991472006,23.29631093631372
NEW YORK,NY,2025-07-21,24.314285278320312,22.985713958740234,30.214284896850586,28.94285774230957,19.014286041259766,17.657142639160156,28.457143783569336,25.785715103149414,30,2024-07-28,28.41565293742018,16.21289796569969,17.422100862068966,22.314275451559933
NEW YORK,NY,2025-07-28,23.885713577270508,22.842857360839844,29.685714721679688,28.72857093811035,18.628570556640625,17.485713958740234,25.299999237060547,23.385713577270508,31,2024-08-04,30.605282471411503,19.00618117720453,28.172338895068595,24.805731824308022
NEW YORK,NY,2025-08-04,23.714284896850586,22.47142791748047,29.385713577270508,28.41428565979004,18.671428680419922,17.185714721679688,27.614286422729492,23.385713577270508,32,2024-08-11,27.045245409991956,16.535594201838443,63.44225499231951,21.7904198059152
NEW YORK,NY,2025-08-11,23.242856979370117,22.02857208251953,29.0,27.899999618530273,18.157142639160156,16.842857360839844,29.714284896850586,26.042856216430664,33,2024-08-18,27.43102705444157,15.395435351285215,13.026493086454083,21.413231202863397
NEW YORK,NY,2025-08-18,22.571428298950195,21.52857208251953,28.5,27.485713958740234,17.242856979370117,16.200000762939453,27.457143783569336,23.757143020629883,34,2024-08-25,24.234321177179314,12.767542048799498,29.152628343662272,18.500931612989405
NEW YORK,NY,2025-08-25,22.600000381469727,21.071428298950195,28.58571434020996,27.14285659790039,17.257143020629883,15.614285469055176,22.27142906188965,20.64285659790039,35,2024-09-01,27.986807736319097,15.95253147235906,10.280568266327666,21.96966960433908
NEW YORK,NY,2025-09-01,21.071428298950195,20.257143020629883,27.114286422729492,26.385713577270508,15.742856979370117,14.842857360839844,20.871429443359375,20.214284896850586,36,2024-09-08,24.159380486065395,10.329005056323606,18.26985714285714,17.2441927711945
NEW YORK,NY,2025-09-08,19.97142791748047,19.014286041259766,26.214284896850586,25.157142639160156,14.485713958740234,13.628571510314941,20.171428680419922,21.799999237060547,37,2024-09-15,25.69749050605905,10.74731662826421,4.341795430107527,18.22240356716163
NEW YORK,NY,2025-09-15,18.685714721679688,17.64285659790039,24.85714340209961,23.871429443359375,13.214285850524902,12.114285469055176,23.042856216430664,22.5,38,2024-09-22,26.9300701911589,13.3201010197986,1.2776814516129031,20.12508560547875
NEW YORK,NY,2025-09-22,17.27142906188965,16.257143020629883,23.742856979370117,22.41428565979004,11.657142639160156,10.814285278320312,21.542856216430664,25.385713577270508,39,2024-09-29,21.99404450817529,13.490058366691134,18.641036993484825,17.74205143743321
NEW YORK,NY,2025-09-29,16.0,14.671428680419922,22.257143020629883,20.77142906188965,10.614285469055176,9.414285659790039,21.200000762939453,24.685714721679688,40,2024-10-06,22.897665983956305,10.16692481652159,3.716047311827957,16.532295400238947
NEW YORK,NY,2025-10-06,14.885714530944824,13.314285278320312,21.285715103149414,19.457143783569336,9.471428871154785,8.028571128845215,18.657142639160156,21.5,41,2024-10-13,18.620533249760168,5.40480988944212,9.223977743789394,12.012671569601144
NEW YORK,NY,2025-10-13,13.528571128845215,11.800000190734863,19.77142906188965,17.742856979370117,8.328571319580078,6.72857141494751,21.657142639160156,23.22857093811035,42,2024-10-20,16.067564973090953,2.272673401179777,14.120087828407224,9.170119187135366
NEW YORK,NY,2025-10-20,11.814285278320312,10.328571319580078,17.52857208251953,15.928571701049805,6.985714435577393,5.557142734527588,27.600000381469727,23.871429443359375,43,2024-10-27,20.58776828383683,5.28496437105308,0.7210322580645161,12.936366327444956
NEW YORK,NY,2025-10-27,10.614285469055176,8.971428871154785,15.985713958740234,14.471428871154785,5.942857265472412,4.171428680419922,24.242856979370117,22.328571319580078,44,2024-11-03,18.5879083125031,5.119232211485508,6.185070194395889,11.853570261994305
NEW YORK,NY,2025-11-03,8.771428108215332,7.5714287757873535,14.100000381469727,13.071428298950195,4.099999904632568,2.700000047683716,19.871429443359375,18.600000381469727,45,2024-11-10,18.46685974569039,4.243269435910565,1.1879620967741935,11.35506459080048
NEW YORK,NY,2025-11-10,7.4571428298950195,6.0428571701049805,12.614285469055176,11.357142448425293,2.799999952316284,1.3285714387893677,19.885713577270508,18.52857208251953,46,2024-11-17,12.672405014873332,0.7768121540730988,9.273955529953916,6.724608584473216
NEW YORK,NY,2025-11-17,5.971428394317627,4.885714054107666,10.985713958740234,9.985713958740234,1.5714285373687744,0.3857142925262451,24.899999618530273,19.91428565979004,47,2024-11-24,11.005855002707769,3.11504352698934,38.33465225323846,7.060449264848553
NEW YORK,NY,2025-11-24,4.657142639160156,4.085714340209961,9.371428489685059,8.95714282989502,0.3142857253551483,-0.30000001192092896,18.671428680419922,22.342857360839844,48,2024-12-01,7.144021550603102,-1.219064990128352,20.93236895705693,2.962478280237375
