datetime,TMAX,TMIN,PRCP
20250611,27.74274253845215,18.04003143310547,13.352472305297852
20250612,26.412599563598633,16.637720108032227,42.004783630371094
20250613,25.45701789855957,16.469219207763672,57.5342903137207
20250614,25.118261337280273,16.46004867553711,39.62200927734375
20250615,26.269697189331055,16.357894897460938,24.25757598876953
20250616,27.67583656311035,17.107255935668945,22.854066848754883
20250617,28.062440872192383,17.790430068969727,18.26156234741211
20250618,28.356698989868164,18.260366439819336,30.744815826416016
20250619,29.692264556884766,18.66236114501953,20.23285484313965
20250620,30.511005401611328,19.310766220092773,19.019935607910156
20250621,30.920734405517578,19.527830123901367,18.535884857177734
20250622,30.151355743408203,19.576475143432617,29.37001609802246
20250623,30.25135612487793,19.057815551757812,16.893142700195312
20250624,30.848325729370117,19.392423629760742,19.338117599487305
20250625,31.275598526000977,19.59393882751465,12.81977653503418
20250626,31.275598526000977,19.59393882751465,12.81977653503418
