dateitme,TMAX,TMIN,PRCP
20240901,28.818910598754883,19.35114097595215,17.07347869873047
20240902,27.56343650817871,16.601200103759766,6.807669639587402
20240903,27.285947799682617,15.034309387207031,6.232728481292725
20240904,28.184017181396484,16.810890197753906,16.83284568786621
20240905,27.68369483947754,17.548185348510742,40.681793212890625
20240906,27.346223831176758,17.26302719116211,43.00614929199219
20240907,26.117534637451172,16.29411506652832,20.298595428466797
20240908,26.00491714477539,14.127019882202148,2.9121780395507812
20240909,27.05869483947754,14.383606910705566,5.327576160430908
20240910,26.727487564086914,15.117535591125488,9.160714149475098
20240911,26.632699966430664,14.919174194335938,12.576991081237793
20240912,26.8822021484375,14.869145393371582,9.335479736328125
20240913,27.81481170654297,15.259631156921387,16.875
20240914,29.001054763793945,15.881645202636719,5.230971813201904
20240915,29.637908935546875,16.312030792236328,1.3586065769195557
20240916,29.637908935546875,16.312030792236328,1.3586065769195557
