State,datetime,value
INDIANA,2024-05-03,382984705.31923336
INDIANA,2024-05-10,383393129.09739166
INDIANA,2024-05-17,382923905.0042712
INDIANA,2024-05-24,383295000.0000001
INDIANA,2024-06-07,383109149.8670557
INDIANA,2024-06-14,376728244.4174053
INDIANA,2024-06-21,379649638.5602024
INDIANA,2024-06-28,376314208.1387184
INDIANA,2024-07-05,376328029.2874024
INDIANA,2024-07-12,376328029.2874024
INDIANA,2024-07-15,376660272.0711439
INDIANA,2024-07-19,374284860.5262473
INDIANA,2024-07-26,377205530.5541931
INDIANA,2024-08-02,376646576.8554775
INDIANA,2024-08-09,371858760.9417579
INDIANA,2024-08-16,370519085.5002942
INDIANA,2024-08-23,371916879.0293905
INDIANA,2024-08-30,355154399.63704324
