State,Area,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
Average,AVG,2025-06-02,20.806256506178116,20.885939174228245,28.455542352464462,27.821177376641167,13.695238007439507,14.345370292663574,34.651335875193276,26.444087346394856,23.0,2025-06-02,28.240351411082074,15.669824225751759,20.849408145935932,21.955087818416917
Average,AVG,2025-06-09,22.695700963338215,22.062103271484375,29.61031723022461,28.908359951443142,16.21034378475613,15.587301784091526,33.897169007195366,27.920185195075142,24.0,2025-06-09,29.89027042693321,15.379617629600652,8.1700381534218,22.63494402826693
Average,AVG,2025-06-16,24.70222208234999,22.960634655422634,31.54965623219808,29.744590123494465,18.325224717458088,16.574973318311905,29.19756613837348,28.366917928059895,25.0,2025-06-16,30.628587477918035,19.213595397901425,23.488185861843018,24.92109143790973
Average,AVG,2025-06-23,25.130449506971573,23.529298782348633,31.956918398539226,30.296177016364204,18.73522488276164,17.189378208584255,28.836150487263996,27.138862397935654,26.0,2025-06-23,30.737773847129752,18.668516630446817,19.8302744848083,24.703145238788284
Average,AVG,2025-06-30,25.505079375372993,24.02015887366401,32.387804455227325,30.74859799279107,18.970687866210938,17.70317464404636,22.702116436428494,25.695939169989693,27.0,2025-06-30,29.641212115080236,17.885837111383907,26.251764911101798,23.76352461323207
Average,AVG,2025-07-07,25.93271181318495,24.461124102274578,32.91556866963705,31.159762064615887,19.338491916656494,18.202301767137314,21.54324065314399,25.282870292663574,28.0,2025-07-07,31.304996287525114,18.87459679315878,20.86936676346104,25.089796540341947
Average,AVG,2025-07-14,26.062817573547363,24.750357098049587,32.980065981547035,31.468373192681206,19.656097835964626,18.56500005722046,24.06071450975206,24.548267311520046,29.0,2025-07-14,29.94846871797683,18.254126434720565,18.664713862174168,24.1012975763487
Average,AVG,2025-07-21,26.246111128065323,24.573849148220486,33.22666687435574,31.31210316552056,19.879431194729275,18.438452349768745,22.375119103325737,24.083399613698322,30.0,2025-07-21,29.99891449064517,18.454955715646093,17.22448862695755,24.22693510314563
Average,AVG,2025-07-28,25.767645623948837,24.234907574123806,32.77031739552816,31.023280567593044,19.37830686569214,18.076547622680664,21.862407313452827,22.793875641292995,31.0,2025-07-28,32.48448638558317,20.296496250990632,18.718061461796584,26.3904913182869
Average,AVG,2025-08-04,25.64522499508328,23.918267250061035,32.76801617940267,30.73608462015788,19.226402123769123,17.80452389187283,21.380396842956543,23.198796378241646,32.0,2025-08-04,28.669017026402017,16.859875628292325,13.498586354513591,22.76444632734717
Average,AVG,2025-08-11,24.728425873650444,23.485224935743545,31.827685250176323,30.366058137681748,18.426613807678223,17.356468200683594,22.116481357150608,23.520912647247314,33.0,2025-08-11,29.96030886732568,18.04121493733409,19.845405324349272,24.000761902329884
Average,AVG,2025-08-18,24.85101826985677,23.28890217675103,31.95712990230984,30.25152089860704,18.541653368208145,17.095476362440323,22.557513131035698,22.933426062266033,34.0,2025-08-18,29.17606879165115,15.963389551379489,4.496019879182997,22.56972917151532
Average,AVG,2025-08-25,24.810727543301052,22.942446920606827,32.12078030904134,30.014603190951878,18.430237823062473,16.742790857950848,20.6788625187344,22.181997352176243,35.0,2025-08-25,31.711346652675054,18.455758654294968,14.179392711898693,25.08355265348501
Average,AVG,2025-09-01,23.5885714424981,21.874325540330673,31.04752646552192,29.10724862416585,17.100105974409317,15.595039579603407,19.567010508643257,21.434894190894234,36.0,2025-09-01,27.310123062113192,13.188109762952436,7.7807384914509425,20.249116412532814
Average,AVG,2025-09-08,21.813201268513996,20.46142843034532,29.390356805589462,27.821640226576065,15.25256601969401,14.11560853322347,19.46510574552748,21.624550289577908,37.0,2025-09-08,29.12687186809413,14.29938033768054,9.476730079409512,21.713126102887337
Average,AVG,2025-09-15,20.566441747877334,19.0800527466668,28.367354604933,26.527777671813965,13.945251411861843,12.699140230814615,20.53753990597195,22.46982791688707,38.0,2025-09-15,30.02553612442321,16.077096531131485,13.70721963234627,23.051316327777343
Average,AVG,2025-09-22,18.887103239695232,17.52924617131551,26.82920636071099,25.152936193678116,12.215621709823608,11.052791092130873,20.837936454349094,21.403055720859104,39.0,2025-09-22,26.793162488292918,14.079092899579463,23.332325646548803,20.43612769393619
Average,AVG,2025-09-29,17.553717030419243,15.987619082132975,25.469193352593315,23.725079112582737,10.877023749881321,9.38820128970676,19.873783111572266,18.876097679138184,40.0,2025-09-29,26.54497391671402,11.76783574251716,1.8506081571546606,19.156404829615592
Average,AVG,2025-10-06,16.1453439394633,14.423716810014513,24.02444468604194,22.101177215576172,9.547671953837076,7.906177235974206,18.704682509104412,18.97350549697876,41.0,2025-10-06,24.96002255773115,8.071424319262167,1.153246405403199,16.51572343849666
Average,AVG,2025-10-13,14.097076574961344,12.7569047609965,21.945833418104385,20.380449877844917,7.549682550960117,6.3356481318672495,18.690158791012234,17.57031732135349,42.0,2025-10-13,20.216601671908155,4.372702799943173,2.0527938017151577,12.294652235925666
Average,AVG,2025-10-20,13.003148131900364,11.215502712461683,20.53002664777968,18.62964285744561,6.752394255664614,4.999656077888277,18.77580674489339,17.891124380959404,43.0,2025-10-20,22.900847512134508,6.474230963627508,2.9844107981071932,14.687539237881007
Average,AVG,2025-10-27,10.787063492668999,9.576640208562216,17.908875677320694,16.69370370441013,4.832169300980038,3.584153460131751,20.860621690750122,18.464814636442398,44.0,2025-10-27,21.03548334985277,8.675066662277619,15.701986315600692,14.855275006065192
Average,AVG,2025-11-03,9.224920723173353,7.849510553810331,16.4155027601454,14.86164018842909,3.2224074569013386,1.9151058114237256,17.309219704733955,16.04907414648268,45.0,2025-11-03,18.11436341098325,8.861816568543283,32.34986409668495,13.488089989763264
Average,AVG,2025-11-10,7.532473584016164,6.301521200272772,14.46354497803582,13.20149466726515,1.6701984264784389,0.4570634886622429,13.869153579076132,14.960992018381754,46.0,2025-11-10,15.610906265801766,4.7508216338924125,13.031840969794589,10.180863949847089
Average,AVG,2025-11-17,6.2638358804914684,5.087129626009199,12.95641533533732,11.844364960988363,0.5931349553995662,-0.6404100629604526,16.00014548831516,15.606454968452454,47.0,2025-11-17,12.258031261991238,2.803460779993694,17.00861676119367,7.530746020992465
Average,AVG,2025-11-24,5.11899475256602,3.7550132456752987,11.738664044274223,10.289841347270542,-0.44579366594552994,-1.8263227393229802,15.535648160510593,17.174008038308884,48.0,2025-11-24,6.489048367551136,-3.3138458499746153,3.926122951414999,1.5876012587882602
Average,AVG,2025-12-01,3.4736639306777053,2.145687793691953,9.570992045932346,8.376071442746454,-1.750502583053377,-3.2114153353290424,16.963822603225708,16.409841352038914,49.0,2025-12-01,6.351029751690662,-4.931454702688428,2.80676141938359,0.7097875245011172
