State,AREA1,date,TAVG,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y
NEW MEXICO,NM,2024-08-05,26.233333587646484,25.16666603088379,34.53333282470703,33.46666717529297,19.100000381469727,18.066667556762695,12.0,13.366666793823242,33,2023-08-20,34.06608410138788,16.249226473672287,4.634820912803671
NEW MEXICO,NM,2024-08-12,25.700000762939453,24.766666412353516,34.06666564941406,33.06666564941406,18.600000381469727,17.600000381469727,14.833333015441895,12.666666984558105,34,2023-08-27,32.39365257023987,16.897129032049666,10.254875254375252
NEW MEXICO,NM,2024-08-19,26.266666412353516,24.433332443237305,34.66666793823242,32.733333587646484,18.83333396911621,17.233333587646484,8.899999618530273,10.133333206176758,35,2023-09-03,33.03163055345595,15.407037442478057,5.700089490968801
NEW MEXICO,NM,2024-08-26,25.566667556762695,23.899999618530273,33.79999923706055,32.16666793823242,18.5,16.600000381469727,11.100000381469727,7.900000095367432,36,2023-09-10,34.41355744085629,14.625728707830516,0.8184328589673417
NEW MEXICO,NM,2024-09-02,24.366666793823242,22.766666412353516,32.900001525878906,31.16666603088379,17.03333282470703,15.633333206176758,8.633333206176758,8.433333396911621,37,2023-09-17,26.66073608930752,12.7194967730682,16.356483516483515
NEW MEXICO,NM,2024-09-09,23.100000381469727,21.399999618530273,31.733333587646484,29.83333396911621,15.666666984558105,14.300000190734863,6.800000190734863,10.766666412353516,38,2023-09-24,29.74583242833106,11.83691738125646,3.5215677303411788
NEW MEXICO,NM,2024-09-16,22.16666603088379,20.299999237060547,31.03333282470703,29.03333282470703,14.633333206176758,12.933333396911621,9.866666793823242,10.300000190734863,39,2023-10-01,30.13768776987168,11.290721844293271,7.557171957671958
NEW MEXICO,NM,2024-09-23,20.933332443237305,19.33333396911621,30.299999237060547,28.46666717529297,12.933333396911621,11.5,6.666666507720947,8.5,40,2023-10-08,25.48595191424967,8.572878078762042,4.694109146281559
NEW MEXICO,NM,2024-09-30,19.799999237060547,17.899999618530273,29.200000762939453,27.133333206176758,11.600000381469727,10.0,4.800000190734863,7.566666603088379,41,2023-10-15,24.898538023127514,6.180878822367601,0.0275734355044699
NEW MEXICO,NM,2024-10-07,17.433332443237305,15.966666221618652,26.799999237060547,25.366666793823242,9.433333396911621,8.033333778381348,9.366666793823242,6.4666666984558105,42,2023-10-22,27.762413011181483,6.226640081319885,0.0
NEW MEXICO,NM,2024-10-14,15.766666412353516,14.566666603088379,25.399999618530273,24.066667556762695,7.633333206176758,6.5,4.266666889190674,5.400000095367432,43,2023-10-29,22.59574408785684,5.687356050059935,4.324983190883191
NEW MEXICO,NM,2024-10-21,14.033333778381348,12.699999809265137,23.799999237060547,22.100000381469727,5.933333396911621,4.933333396911621,4.599999904632568,6.400000095367432,44,2023-11-05,18.748348189850653,-2.1574693095629054,1.1833522167487684
NEW MEXICO,NM,2024-10-28,11.966666221618652,10.933333396911621,21.399999618530273,20.299999237060547,4.199999809265137,3.2333333492279053,6.300000190734863,4.933333396911621,45,2023-11-12,19.741750723277818,3.0966174055829225,3.5363431527093594
NEW MEXICO,NM,2024-11-04,10.066666603088379,9.633333206176758,19.53333282470703,19.0,2.3333332538604736,2.0333333015441895,3.799999952316284,3.200000047683716,46,2023-11-19,18.94240488788108,2.914599395313681,1.7854587301587297
NEW MEXICO,NM,2024-11-11,9.433333396911621,8.266666412353516,19.066667556762695,17.5,1.5666667222976685,0.699999988079071,1.7999999523162842,3.5333333015441895,47,2023-11-26,12.267962035126788,-1.839481300592412,2.129641901955005
NEW MEXICO,NM,2024-11-18,7.766666889190674,6.933333396911621,17.133333206176758,16.266666412353516,0.13333334028720856,-0.6666666865348816,2.9666666984558105,3.2333333492279053,48,2023-12-03,11.4093524672534,-3.8797744734334776,2.6601594708994707
NEW MEXICO,NM,2024-11-25,6.066666603088379,5.366666793823242,15.433333396911621,14.5,-1.4333332777023315,-2.066666603088379,2.0999999046325684,2.5999999046325684,49,2023-12-10,15.108456558442876,-3.2654346327717976,0.2875167852581646
NEW MEXICO,NM,2024-12-02,4.5,4.166666507720947,13.333333015441895,13.033333778381348,-2.566666603088379,-3.0333333015441895,3.566666603088379,2.633333444595337,50,2023-12-17,11.745601688951442,-3.18236375009774,7.011588669950739
NEW MEXICO,NM,2024-12-09,4.0,3.5333333015441895,12.833333015441895,12.366666793823242,-3.1666667461395264,-3.700000047683716,2.4666666984558105,2.633333444595337,51,2023-12-24,13.272025433806151,-0.8642581581469281,8.002007936507937
NEW MEXICO,NM,2024-12-16,4.0333333015441895,2.866666555404663,12.666666984558105,11.600000381469727,-3.0999999046325684,-4.366666793823242,2.2333333492279053,2.866666555404663,52,2023-01-01,14.63095238095238,1.869047619047619,0.0272142857142857
NEW MEXICO,NM,2024-12-16,4.0333333015441895,2.866666555404663,12.666666984558105,11.600000381469727,-3.0999999046325684,-4.366666793823242,2.2333333492279053,2.866666555404663,52,2023-12-31,9.926264758777076,-6.55091289389319,0.0
NEW MEXICO,NM,2024-12-30,3.2333333492279053,2.2666666507720947,11.633333206176758,10.966666221618652,-3.5999999046325684,-4.900000095367432,3.5333333015441895,2.433333396911621,2,2023-01-15,15.74704081632653,-2.253877551020408,0.4630057142857142
NEW MEXICO,NM,2025-01-06,3.1666667461395264,2.8333332538604736,12.300000190734863,11.733333587646484,-4.133333206176758,-4.4666666984558105,1.3666666746139526,1.9333332777023315,3,2023-01-22,9.491872624729767,-4.738151398865684,3.2631146553446557
