State,datetime,value
TENNESSEE,2024-05-03,92112958.917693
TENNESSEE,2024-05-10,92230158.78446887
TENNESSEE,2024-05-17,92095511.87079082
TENNESSEE,2024-05-24,92202000.0
TENNESSEE,2024-06-07,92148669.09228551
TENNESSEE,2024-06-14,90641032.16453004
TENNESSEE,2024-06-21,91317639.8800288
TENNESSEE,2024-06-28,90522212.71979904
TENNESSEE,2024-07-05,90526178.78855184
TENNESSEE,2024-07-12,90526178.78855184
TENNESSEE,2024-07-15,90621518.0221472
TENNESSEE,2024-07-19,90020726.36353582
TENNESSEE,2024-07-26,90858831.67590286
TENNESSEE,2024-08-02,90698436.26670624
TENNESSEE,2024-08-09,89486246.65172535
TENNESSEE,2024-08-16,89182666.22279468
TENNESSEE,2024-08-23,89583772.19201359
TENNESSEE,2024-08-30,87365146.26849385
