,State,crop
0,ALABAMA,132148.43670895643
1,ARKANSAS,1598664.0101744477
2,DELAWARE,70619.27888961918
3,GEORGIA,64523.51340228622
4,ILLINOIS,6269655.816777032
5,INDIANA,3377654.4880632614
6,IOWA,5734636.006912482
7,KANSAS,1170189.9008859075
8,KENTUCKY,1039629.8220952192
9,LOUISIANA,477137.58279158804
10,MARYLAND,209065.68104296824
11,MICHIGAN,998073.7133631632
12,MINNESOTA,3504289.0353165655
13,MISSISSIPPI,1234463.73307265
14,MISSOURI,2652237.4954145327
15,NEBRASKA,2769156.7304094583
16,NEW JERSEY,46278.91284240936
17,NEW YORK,176423.7232298691
18,NORTH CAROLINA,625419.6199123765
19,NORTH DAKOTA,2254270.7220736807
20,OHIO,2791712.269917444
21,OKLAHOMA,130114.14702200681
22,PENNSYLVANIA,266501.3077031243
23,SOUTH CAROLINA,125541.21698606908
24,SOUTH DAKOTA,2177650.843088286
25,TENNESSEE,812521.8643002925
26,TEXAS,31022.966163276877
27,VIRGINIA,235743.6317737339
28,WISCONSIN,1023660.3450743314
