dateitme,TMAX,TMIN,PRCP
20240901,29.457971572875977,20.597745895385742,24.447664260864258
20240902,29.38204574584961,18.820934295654297,9.282608985900879
20240903,29.038969039916992,18.0231876373291,7.5217390060424805
20240904,28.882770538330078,18.937116622924805,46.57326889038086
20240905,28.237762451171875,19.544282913208008,70.13768005371094
20240906,27.89251136779785,19.207569122314453,62.14895248413086
20240907,27.80112648010254,18.10668182373047,19.519323348999023
20240908,27.84661865234375,16.357648849487305,1.2463767528533936
20240909,28.52214241027832,16.44774627685547,9.591787338256836
20240910,28.195974349975586,17.298871994018555,31.755233764648438
20240911,28.00628089904785,17.319242477416992,23.384862899780273
20240912,27.95265769958496,16.990177154541016,37.42753601074219
20240913,28.908132553100586,16.907487869262695,19.404991149902344
20240914,29.63945198059082,17.803865432739258,7.082930564880371
20240915,30.108131408691406,18.035024642944336,3.8293075561523438
20240916,30.108131408691406,18.035024642944336,3.8293075561523438
