datetime,TMAX,TMIN,PRCP
20250611,26.936084747314453,17.619417190551758,23.182039260864258
20250612,25.724109649658203,16.359466552734375,54.985435485839844
20250613,24.751375198364258,16.43964385986328,81.8309097290039
20250614,24.913591384887695,15.430177688598633,24.394821166992188
20250615,26.909061431884766,16.28915786743164,15.69498348236084
20250616,28.24417495727539,17.876375198364258,39.71440124511719
20250617,28.177751541137695,18.024433135986328,21.860841751098633
20250618,28.307281494140625,18.313997268676758,51.30339813232422
20250619,30.26755714416504,18.899837493896484,34.86812210083008
20250620,30.851051330566406,19.459951400756836,31.618932723999023
20250621,31.42734718322754,20.083818435668945,22.13673210144043
20250622,29.51723289489746,19.288673400878906,19.485437393188477
20250623,30.064401626586914,18.760921478271484,9.073624610900879
20250624,30.978801727294922,19.758819580078125,19.390777587890625
20250625,31.433656692504883,19.505178451538086,12.175566673278809
20250626,31.433656692504883,19.505178451538086,12.175566673278809
