State,AREA1,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
ALABAMA,AL,2025-06-02,24.5,25.03333282470703,30.899999618530273,31.566667556762695,18.766666412353516,19.299999237060547,30.83333396911621,30.16666603088379,23,2024-06-09,31.47876585084246,19.46958904993179,17.345804804694723,25.474177450387124
ALABAMA,AL,2025-06-09,25.33333396911621,25.700000762939453,31.16666603088379,32.29999923706055,20.633333206176758,20.03333282470703,46.099998474121094,27.866666793823242,24,2024-06-16,33.4024292153844,19.28635393733433,5.642671122994653,26.344391576359364
ALABAMA,AL,2025-06-16,26.233333587646484,26.133333206176758,32.36666488647461,32.79999923706055,21.133333206176758,20.53333282470703,29.633333206176758,27.33333396911621,25,2024-06-23,33.45162546500082,21.381047604226875,3.428395238095238,27.416336534613844
ALABAMA,AL,2025-06-23,27.233333587646484,26.366666793823242,33.70000076293945,32.96666717529297,22.03333282470703,20.96666717529297,31.799999237060547,32.20000076293945,26,2024-06-30,34.9765945579697,22.73155458858528,30.919648261360884,28.854074573277483
ALABAMA,AL,2025-06-30,27.33333396911621,26.633333206176758,33.733333587646484,33.20000076293945,22.33333396911621,21.46666717529297,38.56666564941406,35.5,27,2024-07-07,34.25125470517627,23.49115584899899,20.31688572529749,28.87120527708763
ALABAMA,AL,2025-07-07,27.299999237060547,26.799999237060547,33.70000076293945,33.33333206176758,22.433332443237305,21.866666793823242,39.0,37.266666412353516,28,2024-07-14,34.30592469891314,22.03695267134518,14.088572312753929,28.171438685129164
ALABAMA,AL,2025-07-14,27.16666603088379,26.866666793823242,33.63333511352539,33.400001525878906,22.399999618530273,21.933332443237305,38.56666564941406,34.86666488647461,29,2024-07-21,32.62714947089947,22.748809523809523,44.58599583333333,27.687979497354497
ALABAMA,AL,2025-07-21,27.46666717529297,26.933332443237305,33.96666717529297,33.46666717529297,22.5,21.933332443237305,30.299999237060547,31.633333206176758,30,2024-07-28,31.30010953428292,22.66320763316731,52.20541390518083,26.981658583725117
ALABAMA,AL,2025-07-28,27.33333396911621,26.83333396911621,33.900001525878906,33.43333435058594,22.46666717529297,21.866666793823242,30.0,29.53333282470703,31,2024-08-04,34.37183433326309,23.28661268582668,21.651229354908107,28.82922350954488
ALABAMA,AL,2025-08-04,27.399999618530273,26.766666412353516,34.0,33.46666717529297,22.433332443237305,21.83333396911621,31.66666603088379,29.433332443237305,32,2024-08-11,34.38460727107344,22.464539727697623,1.469081081081081,28.42457349938553
ALABAMA,AL,2025-08-11,27.200000762939453,26.66666603088379,33.86666488647461,33.43333435058594,22.133333206176758,21.5,30.566667556762695,28.266666412353516,33,2024-08-18,35.13445692716526,21.75429875221542,7.216871212121212,28.44437783969034
ALABAMA,AL,2025-08-18,27.266666412353516,26.5,34.03333282470703,33.33333206176758,22.133333206176758,21.266666412353516,24.633333206176758,25.233333587646484,34,2024-08-25,32.70991856192357,19.212481578020427,4.550698090229669,25.961200069972
ALABAMA,AL,2025-08-25,27.03333282470703,26.200000762939453,33.70000076293945,32.93333435058594,22.03333282470703,21.03333282470703,31.133333206176758,28.066667556762695,35,2024-09-01,35.55917065390749,21.40324316683965,7.709730462519936,28.481206910373576
ALABAMA,AL,2025-09-01,26.33333396911621,25.600000381469727,32.96666717529297,32.400001525878906,21.233333587646484,20.366666793823242,29.5,25.933332443237305,36,2024-09-08,31.2171956282513,20.899420647888785,12.956472408963585,26.058308138070043
ALABAMA,AL,2025-09-08,25.600000381469727,24.933332443237305,32.599998474121094,31.96666717529297,20.100000381469727,19.33333396911621,20.766666412353516,21.46666717529297,37,2024-09-15,28.62369583839777,20.046221696105075,80.3652262682857,24.334958767251425
ALABAMA,AL,2025-09-15,24.899999618530273,24.100000381469727,32.099998474121094,31.200000762939453,19.233333587646484,18.399999618530273,26.899999618530273,26.46666717529297,38,2024-09-22,31.93403489418527,19.466002199836787,5.189048120300752,25.70001854701103
ALABAMA,AL,2025-09-22,23.566667556762695,22.766666412353516,30.83333396911621,29.96666717529297,17.733333587646484,16.933332443237305,28.133333206176758,28.866666793823242,39,2024-09-29,29.200128105458987,19.580317743001565,52.617877288616256,24.39022292423028
ALABAMA,AL,2025-09-29,22.633333206176758,21.399999618530273,30.0,28.799999237060547,16.46666717529297,15.199999809265137,23.83333396911621,24.766666412353516,40,2024-10-06,29.920407705495425,18.76248788090893,3.1249696969696963,24.341447793202175
ALABAMA,AL,2025-10-06,21.733333587646484,20.233333587646484,29.100000381469727,27.700000762939453,15.433333396911621,13.899999618530273,18.233333587646484,22.33333396911621,41,2024-10-13,28.548889958977675,12.873443715548978,0.2807368421052631,20.71116683726333
ALABAMA,AL,2025-10-13,19.899999618530273,18.633333206176758,27.700000762939453,26.5,13.233333587646484,11.933333396911621,23.799999237060547,20.399999618530273,42,2024-10-20,23.356785186547093,7.144651454175263,0.0137297297297297,15.250718320361178
ALABAMA,AL,2025-10-20,18.566667556762695,17.200000762939453,26.66666603088379,25.200000762939453,11.666666984558105,10.333333015441895,18.0,21.066667556762695,43,2024-10-27,29.09193669732885,10.99325009374029,0.0,20.04259339553457
ALABAMA,AL,2025-10-27,17.0,15.966666221618652,24.866666793823242,23.899999618530273,10.233333587646484,9.166666984558105,20.66666603088379,23.700000762939453,44,2024-11-03,27.444397982174472,16.137411129582482,4.268750136836343,21.79090455587848
