,State,Year,Value,AREA1,AREA
0,NEW YORK,2019,3.228,NY,NYK
1,NEW YORK,2020,3.4297500000000003,NY,NYK
2,NEW YORK,2021,3.5642500000000004,NY,NYK
3,NEW YORK,2022,3.02625,NY,NYK
4,NEW YORK,2023,3.4297500000000003,NY,NYK
