State,2025-05-16
ARKANSAS,41.0
ILLINOIS,13.0
INDIANA,5.0
IOWA,8.0
KANSAS,6.0
KENTUCKY,8.0
LOUISIANA,60.0
MICHIGAN,3.0
MINNESOTA,4.0
MISSISSIPPI,51.0
MISSOURI,12.0
NEBRASKA,5.0
NORTH CAROLINA,17.0
NORTH DAKOTA,3.0
OHIO,4.0
SOUTH DAKOTA,3.0
TENNESSEE,12.0
WISCONSIN,4.0
