datetime,TMAX,TMIN,PRCP
20250424,22.5862824122111,13.266551600562202,36.29184203677707
20250425,21.78561348385281,12.843434598710802,48.289651764763725
20250426,20.20380539364285,11.060234864552816,30.715821690029568
20250427,21.531155586242676,9.785942978329128,4.9807104799482556
20250428,25.142485194736057,12.135643906063503,17.63704103893704
20250429,24.860595915052627,13.854001733991835,18.57914882236057
20250430,22.742178916931152,12.446477572123209,28.498580985599094
20250501,22.49025821685791,11.507896158430311,21.043675475650364
20250502,22.40349186791314,11.630522145165337,18.437835375467937
20250503,22.36532719930013,10.294912338256836,10.115938716464573
20250504,22.384724405076767,10.683723714616564,8.135097424189249
20250505,21.628992292616104,10.543897204928928,9.004188987943861
20250506,21.21638520558675,10.129426002502441,7.854922400580512
20250507,21.688494152492947,10.087632497151693,8.918455892139011
20250508,23.19671779208713,11.081733332739937,18.092961841159397
20250509,23.19671779208713,11.081733332739937,18.092961841159397
