datetime,TMAX,TMIN,PRCP
20250611,28.596708297729492,18.91355323791504,11.632465362548828
20250612,27.677488327026367,18.48177719116211,58.08039855957031
20250613,26.8853759765625,18.88093376159668,77.46247863769531
20250614,27.667993545532227,19.01209831237793,61.101070404052734
20250615,27.756431579589844,18.804977416992188,30.236600875854492
20250616,28.441959381103516,18.765850067138672,25.42572784423828
20250617,29.139280319213867,19.102985382080078,16.369831085205078
20250618,29.535987854003906,19.847013473510742,23.31087303161621
20250619,30.391040802001953,20.191577911376953,16.728178024291992
20250620,31.20099449157715,20.570215225219727,14.934915542602539
20250621,31.517305374145508,20.77159309387207,14.61791706085205
20250622,31.37044334411621,20.881776809692383,16.17993927001953
20250623,31.484073638916016,20.648086547851562,13.370596885681152
20250624,31.445253372192383,20.68307876586914,11.925727844238281
20250625,31.753904342651367,20.711484909057617,10.662327766418457
20250626,31.753904342651367,20.711484909057617,10.662327766418457
