State,datetime,value
NORTH DAKOTA,2024-05-03,255410646.38307992
NORTH DAKOTA,2024-05-10,255900754.91686988
NORTH DAKOTA,2024-05-17,255337686.00512525
NORTH DAKOTA,2024-05-24,255783000.00000003
NORTH DAKOTA,2024-06-07,255559979.8404668
NORTH DAKOTA,2024-06-14,251615113.706552
NORTH DAKOTA,2024-06-21,253264659.9311766
NORTH DAKOTA,2024-06-28,251118232.39222223
NORTH DAKOTA,2024-07-05,251134836.6605957
NORTH DAKOTA,2024-07-12,251134836.6605957
NORTH DAKOTA,2024-07-15,251533509.11113283
NORTH DAKOTA,2024-07-19,249611078.630623
NORTH DAKOTA,2024-07-26,253115882.6641578
NORTH DAKOTA,2024-08-02,252445119.33574647
NORTH DAKOTA,2024-08-09,248555866.9860149
NORTH DAKOTA,2024-08-16,247876319.82962435
NORTH DAKOTA,2024-08-23,249553634.28463465
NORTH DAKOTA,2024-08-30,242129943.809066
