,State,Year,Value,AREA1,AREA
0,NORTH DAKOTA,2019,2.1183750000000003,ND,NDKT
1,NORTH DAKOTA,2020,2.2865,ND,NDKT
2,NORTH DAKOTA,2021,1.7148750000000001,ND,NDKT
3,NORTH DAKOTA,2022,2.3537500000000002,ND,NDKT
4,NORTH DAKOTA,2023,2.387375,ND,NDKT
