5Year Mean TMAX,5Year Mean TMIN,5Year Mean PRCP,5Year Mean TAVG
-1.6254019700889895,-11.298816328052292,34.47085974383534,-6.462094995854962
-1.4045033862433862,-12.843629879062735,32.398233673469385,-7.124043414588057
7.834226749234981,-3.1672644118967703,62.06625250303496,2.3337572211912105
15.125003809777144,1.728625664547733,61.625847756371215,8.427146340841748
21.182315310737067,9.286060928997433,120.24453200070677,15.23451711761889
28.43796291649313,15.69580449241775,94.9374087919837,22.067453213494247
29.3012051988723,17.51383304928798,88.03120158178456,23.407869336459346
28.457460961579272,15.989962543805282,82.62087613605851,22.22386253699284
25.434637107731067,12.105444434327875,84.3842880905872,18.77089490486095
16.61447771149053,3.8499674907080803,84.02417634661614,10.232358743608122
9.221676729211383,-3.026717670805542,35.117945929208304,3.0980498814304505
3.1378971019087247,-7.040442756753187,35.8253786011492,-1.9513178931378377
