Month,2024 TMAX,2025 TMAX,5AVG TMAX,2024 TMIN,2025 TMIN,5AVG TMIN,2024 PRCP,2025 PRCP,5AVG PRCP,2024 TAVG,2025 TAVG,5AVG TAVG
1,-1.2048780487804878,-3.353783783783784,-1.2575868318673196,-10.029512195121953,-12.903513513513513,-10.832768239890191,124.09268292682928,43.52972972972973,94.63427085110013,-5.616829268292682,-8.12945945945946,-6.045073978866662
2,1.7602439024390244,-2.6545454545454543,0.12959921338823782,-9.841219512195122,-14.613939393939392,-12.24088372927885,25.74390243902439,69.53939393939395,65.13821988174428,-4.0407317073170725,-8.634848484848485,-6.055380973498046
3,5.225121951219512,5.093235294117647,5.019841832104367,-3.852439024390244,-6.231176470588236,-5.898257572319909,228.11463414634147,112.4235294117647,100.36953148043108,0.6865853658536585,-0.5688235294117647,-0.438987577992059
