5Year Mean TMAX,5Year Mean TMIN,5Year Mean PRCP,5Year Mean TAVG
6.4925000000000015,-1.7583333333333335,75.88833333333334,2.3649999999999998
8.2355,-1.0906666666666667,78.61166666666666,3.571833333333333
12.4585,2.3086666666666664,81.0,7.383
17.828166666666668,7.103833333333332,103.39000000000001,12.467
22.01583333333333,11.639333333333335,79.60666666666665,16.827666666666666
27.12633333333333,16.849833333333333,112.405,21.988
30.446666666666665,20.848666666666666,117.2,25.64766666666667
29.204666666666668,20.1225,98.13499999999999,24.662666666666667
25.582,15.892000000000001,92.20666666666666,20.737333333333332
19.872,10.419166666666666,109.21166666666667,15.1465
13.498666666666669,2.8596666666666666,73.42666666666666,8.180666666666667
8.720666666666666,0.18816666666666665,121.73999999999998,4.453833333333334
