Month,2024 TMAX,2025 TMAX,5AVG TMAX,2024 TMIN,2025 TMIN,5AVG TMIN,2024 PRCP,2025 PRCP,5AVG PRCP,2024 TAVG,2025 TAVG,5AVG TAVG
1,5.00695652173913,1.9941666666666664,5.701386542443064,-2.888260869565217,-6.727083333333333,-3.0431037267080745,174.04782608695652,24.375,96.28621118012423,1.0608695652173912,-2.3679166666666664,1.3293070393374742
2,7.6624,4.8963636363636365,7.174627619047618,-2.7984000000000004,-3.944545454545455,-3.1959085714285713,51.036,71.30909090909091,74.3889380952381,2.4328,0.4768181818181817,1.9896266666666667
3,12.540833333333332,13.385,11.989135757575756,2.0204166666666667,1.0577777777777777,0.871319696969697,207.0375,103.26666666666668,109.12644545454546,7.281666666666666,7.222222222222222,6.430635151515152
