State,AREA1,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
SOUTH DAKOTA,SD,2025-05-05,13.175000190734863,12.149999618530273,21.850000381469727,20.024999618530273,4.800000190734863,4.974999904632568,9.75,22.024999618530273,19,2024-05-12,21.495167632886933,6.8483341591111015,11.992999574694313,14.171750895999017
SOUTH DAKOTA,SD,2025-05-12,16.875,13.574999809265137,24.899999618530273,21.399999618530273,9.225000381469727,6.375,18.149999618530273,19.975000381469727,20,2024-05-19,25.51512411982337,8.431078688785457,6.776611779448621,16.973101404304412
SOUTH DAKOTA,SD,2025-05-19,16.950000762939453,15.199999809265137,24.850000381469727,22.725000381469727,9.574999809265137,8.024999618530273,18.225000381469727,19.149999618530273,21,2024-05-26,21.866661061021965,7.358277186472676,33.01884834814308,14.61246912374732
SOUTH DAKOTA,SD,2025-05-26,17.875,16.524999618530273,25.524999618530273,23.899999618530273,10.550000190734863,9.425000190734863,21.075000762939453,21.075000762939453,22,2024-06-02,24.51348513178087,9.46678459617056,13.397752487278805,16.990134863975715
SOUTH DAKOTA,SD,2025-06-02,19.549999237060547,18.075000762939453,27.25,25.424999237060547,12.199999809265137,10.875,26.200000762939453,22.149999618530273,23,2024-06-09,26.775240861895,10.408703305883758,9.597542492595124,18.591972083889377
SOUTH DAKOTA,SD,2025-06-09,20.549999237060547,19.325000762939453,28.125,26.549999237060547,13.350000381469727,12.25,30.424999237060547,26.424999237060547,24,2024-06-16,30.104689754689755,13.753447742733456,8.395284506721348,21.929068748711607
SOUTH DAKOTA,SD,2025-06-16,22.075000762939453,20.274999618530273,29.549999237060547,27.350000381469727,14.725000381469727,13.274999618530273,26.575000762939453,29.774999618530273,25,2024-06-23,24.86910268094479,13.049508240297714,71.0805023923445,18.95930546062125
SOUTH DAKOTA,SD,2025-06-23,23.975000381469727,21.024999618530273,31.350000381469727,28.075000762939453,16.674999237060547,13.975000381469727,23.024999618530273,24.899999618530273,26,2024-06-30,29.56179138321996,14.85333671480288,16.56907568922306,22.207564049011417
SOUTH DAKOTA,SD,2025-06-30,24.375,21.75,31.899999618530273,28.825000762939453,16.950000762939453,14.699999809265137,16.174999237060547,20.5,27,2024-07-07,26.777909233868986,13.368157594421785,16.06077299621603,20.073033414145385
SOUTH DAKOTA,SD,2025-07-07,24.475000381469727,22.375,32.07500076293945,29.5,17.0,15.274999618530273,17.674999237060547,19.575000762939453,28,2024-07-14,32.134991609615675,15.8649005269306,4.571594896331739,23.99994606827314
SOUTH DAKOTA,SD,2025-07-14,25.225000381469727,22.649999618530273,32.875,29.725000381469727,17.674999237060547,15.574999809265137,14.225000381469727,19.100000381469727,29,2024-07-21,30.064471574559292,15.66491833841458,9.538446548188654,22.86469495648694
SOUTH DAKOTA,SD,2025-07-21,24.649999618530273,22.225000381469727,32.349998474121094,29.350000381469727,17.25,15.175000190734863,15.699999809265137,18.825000762939453,30,2024-07-28,33.24136745784615,18.044512857420127,3.446134920634921,25.64294015763314
SOUTH DAKOTA,SD,2025-07-28,23.950000762939453,21.674999237060547,31.75,28.899999618530273,16.325000762939453,14.600000381469727,13.399999618530273,17.899999618530273,31,2024-08-04,34.33599740090968,17.612633766957078,13.99884820384294,25.97431558393338
SOUTH DAKOTA,SD,2025-08-04,23.424999237060547,21.200000762939453,31.274999618530273,28.325000762939453,16.0,14.350000381469727,13.699999809265137,18.350000381469727,32,2024-08-11,26.009098610204315,12.504417205478685,9.565157688338491,19.2567579078415
SOUTH DAKOTA,SD,2025-08-11,22.899999618530273,20.575000762939453,30.649999618530273,27.850000381469727,15.774999618530273,13.725000381469727,16.825000762939453,17.625,33,2024-08-18,28.2592940685046,15.181943615652887,15.479347786131996,21.720618842078743
SOUTH DAKOTA,SD,2025-08-18,22.850000381469727,20.399999618530273,30.799999237060547,27.774999618530273,15.600000381469727,13.425000190734863,12.225000381469727,16.200000762939453,34,2024-08-25,30.90232369041893,17.846274536750727,12.872961904761905,24.37429911358483
SOUTH DAKOTA,SD,2025-08-25,22.524999618530273,19.975000381469727,30.350000381469727,27.5,15.324999809265137,12.975000381469727,16.924999237060547,14.850000381469727,35,2024-09-01,29.60712649227687,13.313800916432497,14.011896400091135,21.46046370435468
SOUTH DAKOTA,SD,2025-09-01,20.950000762939453,18.575000762939453,29.225000381469727,26.299999237060547,13.550000190734863,11.649999618530273,10.274999618530273,15.25,36,2024-09-08,28.543235795115493,11.60583185959126,1.4260227842333104,20.074533827353378
SOUTH DAKOTA,SD,2025-09-08,19.75,16.799999237060547,28.174999237060547,24.774999618530273,12.475000381469727,9.899999618530273,12.725000381469727,15.899999618530273,37,2024-09-15,31.31194427265856,13.897498797498798,5.769153679653678,22.60472153507868
SOUTH DAKOTA,SD,2025-09-15,16.649999618530273,15.125,25.375,23.274999618530273,9.300000190734863,8.25,13.074999809265137,15.774999618530273,38,2024-09-22,28.850445558340294,12.74676671838326,4.474315037593985,20.798606138361777
SOUTH DAKOTA,SD,2025-09-22,16.100000381469727,13.350000381469727,25.024999618530273,21.75,8.649999618530273,6.324999809265137,11.899999618530273,13.675000190734863,39,2024-09-29,30.40247028104171,9.360324331752905,0.1983619047619047,19.881397306397307
SOUTH DAKOTA,SD,2025-09-29,13.75,11.375,22.225000381469727,19.625,6.724999904632568,4.474999904632568,11.149999618530273,13.0,40,2024-10-06,24.435666185666182,7.78284546141689,0.0346363636363636,16.109255823541538
