dateitme,TMAX,TMIN,PRCP
20240901,28.369428634643555,16.27115249633789,6.468245506286621
20240902,25.501506805419922,15.156943321228027,3.8299245834350586
20240903,25.562002182006836,14.306458473205566,3.5403659343719482
20240904,27.753713607788086,14.132938385009766,7.259418964385986
20240905,29.505273818969727,15.64865493774414,11.146393775939941
20240906,27.34036636352539,15.748546600341797,16.033369064331055
20240907,26.367599487304688,14.84208869934082,14.250807762145996
20240908,26.502906799316406,13.694079399108887,1.1646932363510132
20240909,26.922712326049805,13.992249488830566,2.4596340656280518
20240910,26.411733627319336,14.689451217651367,4.138858795166016
20240911,26.67911720275879,14.563186645507812,5.354144096374512
20240912,25.686222076416016,14.428632736206055,5.662002086639404
20240913,26.13530731201172,14.403767585754395,4.64908504486084
20240914,25.863401412963867,14.866308212280273,2.8869752883911133
20240915,25.982776641845703,14.01474666595459,1.2465015649795532
20240916,25.982776641845703,14.01474666595459,1.2465015649795532
