5Year Mean TMAX,5Year Mean TMIN,5Year Mean PRCP,5Year Mean TAVG
3.5861566302959007,-11.301781941006611,21.301285408236197,-3.858007739627662
3.6627665443992243,-11.96153625024225,22.52438617962693,-4.149762678293604
9.000614897946924,-6.229972508136399,41.07293958709841,1.3855499532477757
15.005052975449766,-2.0839278255553504,23.895303064281705,6.461220787748649
20.00154135056642,3.572268883856758,54.92567934684378,11.786857683323143
26.340557995495498,8.583225135135134,40.62668423423423,17.462787477477477
29.971228040659458,12.175013723973617,50.255646472956606,21.073308648718886
29.33327601507172,11.37351363955553,39.37569335687354,20.353478186207035
25.90181417163084,7.0169635809284925,25.128092544882016,16.46007252507077
17.110643827385637,-1.0244068804338198,21.86095035922513,8.043031770753526
10.900276748374813,-5.834412356101304,15.447447886716741,2.533313556447079
5.373699462160775,-9.656622241535814,22.9488094368537,-2.14146168066153
