State,2019,2020,2021,2022,2023,2024
ALABAMA,107241.79,113312.08,125452.66,145686.96,141640.1,129499.52
ARKANSAS,1072417.9,1141214.52,1230245.44,1286901.48,1205964.28,1254526.5999999999
DELAWARE,62726.33,60702.9,62726.33,64749.76,60702.9,62726.33
GEORGIA,40468.6,40468.6,56656.04,66773.19,64749.76,64749.76
ILLINOIS,4026625.6999999997,4168265.8,4289671.6,4370608.8,4188500.1,4249203.0
INDIANA,2185304.4,2326944.5,2286475.9,2367413.1,2225773.0,2326944.5
IOWA,3723111.1999999997,3824282.6999999997,4087328.6,4087328.6,4026625.6999999997,4127797.1999999997
KANSAS,1841321.3,1942492.8,1962727.0999999999,2043664.3,1792758.98,1719915.5
KENTUCKY,687966.2,748669.1,748669.1,789137.7,740575.38,789137.7
LOUISIANA,360170.54,424920.3,437060.88,509904.36,416826.58,465388.89999999997
MARYLAND,194249.28,196272.71,198296.13999999998,210436.72,190202.41999999998,184132.13
MICHIGAN,712247.36,890309.2,870074.9,910543.5,825559.44,890309.2
MINNESOTA,2772099.1,3014910.6999999997,3095847.9,3014910.6999999997,2974442.1,3035145.0
MISSISSIPPI,671778.76,845793.74,898402.9199999999,934824.66,882215.48,910543.5
MISSOURI,2063898.5999999999,2367413.1,2306710.1999999997,2468584.6,2266241.6,2428116.0
NEBRASKA,1982961.4,2104367.1999999997,2266241.6,2326944.5,2124601.5,2144835.8
NEW JERSEY,38445.17,38040.484,40468.6,44515.46,40468.6,44515.46
NEW YORK,95101.20999999999,127476.09,131522.94999999998,141640.1,141640.1,141640.1
NORTH CAROLINA,623216.44,647497.6,667731.9,687966.2,663685.04,667731.9
NORTH DAKOTA,2266241.6,2326944.5,2933973.5,2306710.1999999997,2509053.1999999997,2792333.4
OHIO,1740149.8,2003195.7,1982961.4,2063898.5999999999,1922258.5,2023430.0
OKLAHOMA,188178.99,226624.16,234717.88,220553.87,186155.56,222577.3
PENNSYLVANIA,250905.32,258999.04,242811.6,242811.6,230671.02,234717.88
SOUTH CAROLINA,135569.81,125452.66,159850.97,163897.83,159850.97,141640.1
SOUTH DAKOTA,1416401.0,2003195.7,2205538.6999999997,2063898.5999999999,2063898.5999999999,2104367.1999999997
TENNESSEE,566560.4,667731.9,627263.2999999999,667731.9,647497.6,667731.9
TEXAS,32374.88,48562.32,44515.46,62726.33,50585.75,40468.6
VIRGINIA,230671.02,230671.02,242811.6,250905.32,234717.88,254952.18
WISCONSIN,708200.5,817465.72,849840.6,874121.76,853887.46,890309.2
